|p_url|target|comment_author|comment
2|https://www.instagram.com/p/ClTclwoM4eX/|ameasistenciamedica|jhonyzambranoo|['Buenas es un pago único..por servicio a domicilio?']
8|https://www.instagram.com/p/Ck0jBJcj5TV/|ameasistenciamedica|marys.suarez2018|['👏👏👏👏👏']
9|https://www.instagram.com/p/Ck0jBJcj5TV/|ameasistenciamedica|edna_luna_|['Excelentes médicas felicitaciones👏🔥']
10|https://www.instagram.com/p/Ck0jBJcj5TV/|ameasistenciamedica|andreshinojosam|['👏👏👏👏👏']
11|https://www.instagram.com/p/Ck0jBJcj5TV/|ameasistenciamedica|xiiomycacuadiaz|['😇😇👏👏']
17|https://www.instagram.com/p/CkbjZMfMyeZ/|ameasistenciamedica|tuty.arevalo|['Me encanta']
25|https://www.instagram.com/p/Cj3ALAMDWrq/|ameasistenciamedica|alejandrachacin|['Super👏 💚']
26|https://www.instagram.com/p/Cj3ALAMDWrq/|ameasistenciamedica|morelysalva|['👏👏👏excelente iniciativa para los afiliados y el publico']
27|https://www.instagram.com/p/Cj3ALAMDWrq/|ameasistenciamedica|amevenezuela|['💚💚💚']
28|https://www.instagram.com/p/Cj3ALAMDWrq/|ameasistenciamedica|jimmy.0108|['En que sitio están ubicados en este momento ?']
30|https://www.instagram.com/p/CjnW6EKs2MZ/|ameasistenciamedica|josefinatorresriveros|['🙌']
32|https://www.instagram.com/p/CjiSNjAMnzd/|ameasistenciamedica|alfalatina|['Hola..somos fabricantes ropa desechable...Precios excelentes...Distribuimos Insumos Médicos...Guantes al mejor precio ...3165516311']
45|https://www.instagram.com/p/CisL-K1scyH/|ameasistenciamedica|tuty.arevalo|['Excelente servicio']
48|https://www.instagram.com/p/CigLiBXp476/|ameasistenciamedica|patyau1|['#bucaramanga Afiliandose a la Tranquilidad']
50|https://www.instagram.com/p/CiSd5rqjJr1/|ameasistenciamedica|laufda|['La mejor pediatra 👏']
51|https://www.instagram.com/p/CiSd5rqjJr1/|ameasistenciamedica|lorenaamayabautista|['Excelente Pediatra']
58|https://www.instagram.com/p/Ch5XGyvjOe2/|ameasistenciamedica|laufda|['La mejor pediatra 🙏🏼']
80|https://www.instagram.com/p/Cgwu6uxjKkW/|ameasistenciamedica|luluom1210|['Precio por favor']
81|https://www.instagram.com/p/CgkjTWOJcth/|ameasistenciamedica|jencyjchp|['🙌😍❤️']
99|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|sandro.pintog|['Feliz cumpleaños Ame son lo máximo']
100|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|olgatrigos|['Dios los bendiga y los proteja']
101|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|yudyrubiela|['👏👏👏❤️❤️❤️']
102|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|marilenatorres2008|['Bendiciones 🙏 excelente Empresa y que cumpla muchos años mas🙌🔥❤️']
103|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|analeevicierra2009|['❤️❤️❤️❤️']
104|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|drangelicanavarro|['❤️❤️❤️']
105|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|yolandapatriciarincon|['Ame es el mejor, profesionales excelentes, su servicio impecable. Ame es mi mano derecha hace 11 años, desde que nació mi niña. Dios bendiga a Amé.']
106|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|claraineslozanozabarain|['Feliz de pertenecer a la familia AME Asistencia Médica']
107|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|luisgabrielmontoyacastro|['FELICIDADES A LA FAMILIA AME 😍']
108|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|lalamontoyac|['Felicitaciones 🎈🍾🎉🎊 que sean muchos más 🙏🏻🙏🏻']
109|https://www.instagram.com/p/CfZ1ubGpnQc/|ameasistenciamedica|yolandaquinter|['Felicitaciones a AME.LA MEJOR ELECCIÓN']
114|https://www.instagram.com/p/CfHs_uSFH46/|ameasistenciamedica|leisylucia28|['Feliz cumpleaños a mi empresa querida ❤️👏👏👏👏']
115|https://www.instagram.com/p/CfHs_uSFH46/|ameasistenciamedica|navse_1126|['👏']
116|https://www.instagram.com/p/CfHs_uSFH46/|ameasistenciamedica|endergarcia09|['👏👏👏❤️']
