|p_url|target|comment_author|comment
1|https://www.instagram.com/p/ClMw-16p_T0/|colmedicamedicinaprepagada|datamediccolsas|['Honramos la labor del psicólogo en la salud. Feliz día 👏👏']
3|https://www.instagram.com/p/Ck8lPLrKG9C/|colmedicamedicinaprepagada|juliipa|['Que profesionales son los asesores de Colmedica al cotizar te preguntan la edad de la persona y de repente te dicen ya te llamo \U0001f979 y hasta ahí fue ! Eso le baja el ánimo a cualquiera que ni los tres consejos sirven 🥲']
7|https://www.instagram.com/p/Ck1dvmNruIV/|colmedicamedicinaprepagada|rbalbertot|['Muchas felicitaciones frente al servicio de Colmédica Medicina prepagada solo mis felicitaciones tanto en clínicas como en la Torre Colmédica Santa Bárbara sin embargo esos servicios que tienen con Aliansalud en especial los medicamentos son PERVERSOS MALISIMOS DE LO PEOR, con @medicarteips una porquería tres a cuatro horas de espera con o sin cita y son una cantidad de pretextos para que entreguen medicamentos que sí la autorización que sí es domicilio que no hay que esperese que no sé que no horrible una porquería de verdad deberían de hacer convenio con otras farmacias como por ejemplo en @supertiendasolimpica el servicio es súper bueno y muy rápido todo lo mismo que en @cruzverdecol pero definitivamente Medicarte deja MORIR a la gente.']
8|https://www.instagram.com/p/Ck1dvmNruIV/|colmedicamedicinaprepagada|mariamonitosmua|['Llevo tres horas esperando en el cmc del country park a que el médico me atienda porque me demore 8 minutos en llegar para eso que cada vez ponen más trabas para las citas, esto ya no parece una medicina prepagada además que las asesoras no son claras y no colaboran para nada']
9|https://www.instagram.com/p/Ck1dvmNruIV/|colmedicamedicinaprepagada|dianasilvab|['Agradecida por siempre con la clínica del country y su personal ❤️']
10|https://www.instagram.com/p/Ck0u2qaPGpR/|colmedicamedicinaprepagada|ambil_bostonterrier|['La atención en colmedica es pésima, desde la recepción es pésima, cuando uno llega tarde por cualquier contratiempo uno debe reagendarse, pero si por alguna razón colmedica tiene el error a uno como usuario lo dejan esperando horas hasta cuando quieren atenderlo. Consejo: más prudencia con la atención, sería bueno dedicarse un poco a los usuarios que son personas que requieren atención por salud.']
11|https://www.instagram.com/p/Ckt2vk0D92l/|colmedicamedicinaprepagada|alc.diseno|['Se respetan las opiniones de cada cual yo la verdad estoy feliz con el servicio me han enviado muchísimos exámenes y todos me los han hecho en el mayor tiempo posible y gracias a ello se lo que tengo. Siento mucho que a ti no te haya servido.']
12|https://www.instagram.com/p/Ckt2vk0D92l/|colmedicamedicinaprepagada|linapaolacc|['No la recomiendo, a mi hijo una especialista en reumatología, le envió un examen a mi hijo después de que le dio kawasaki y no se lo aprobaron porque consideran que no es necesario. No pierdan su dinero con ellos, son pésimos busquen a Allianz o Sura son mejores. Nosotros ya estamos buscando traslado']
13|https://www.instagram.com/p/Ckt2vk0D92l/|colmedicamedicinaprepagada|linapaolacc|['Pésimo servicio el de ustedes, pagar un póliza para nada, 41 minutos para que me autoricen un exámen y la asesora Carolai Rojas al no darme solución me colgó el teléfono. Y lo mismo han hecho los otros asesores desde hace tres días']
14|https://www.instagram.com/p/CktjPQADum9/|colmedicamedicinaprepagada|linapaolacc|['No la recomiendo, a mi hijo una especialista en reumatología, le envió un examen a mi hijo después de que le dio kawasaki y no se lo aprobaron porque consideran que no es necesario. No pierdan su dinero con ellos, son pésimos busquen a Allianz o Sura son mejores. Nosotros ya estamos buscando traslado']
