|p_url|target|comment_author|comment
0|https://www.instagram.com/p/ClWDb1puC9L/|emermedica_oficial|ronald_javier_murcia|['ESTE SERVICIO ES LO PEOR QUE HAY']
1|https://www.instagram.com/p/ClQ56IVs7Ul/|emermedica_oficial|ronald_javier_murcia|['LA PEOR ATENCIÓN NO SE METAN A ESTE SERVICIO']
4|https://www.instagram.com/p/ClG1HpLvrhl/|emermedica_oficial|hoyossaira|['Excelente !!!']
5|https://www.instagram.com/p/Ck_TM6BKV0h/|emermedica_oficial|malu0072|"['@emermedica_oficial Esa aplicación es una porqueria ni siquiera se puede entrar fácil y cuando se logrà sale un anuncio donde dice que en ese momento hay un problema y que se debe intentar más tarde realmente la atención es pésima y para q vayan a la casa uno debe estar muriéndose porque cuando uno llama la enferma q contesta dice "" tómese un acetaminofen y recuestese porque le dicen a uno eso no es una emergencia y los médicos están en casos realmente importantes tal cual es la respuesta que falta de respeto con los pacientes por eso les recomiendo q lo piensen dos veces antes de querer afiliarse a EMERMEDICA porque eso si les prometen esta vida y la otra, además la por más quejas q usted ponga nunca contestan pero eso sí son super puntuales en enviar la factura creo q es mejor una EPS']"
6|https://www.instagram.com/p/Ck_TM6BKV0h/|emermedica_oficial|angela.perez81|['Muchas gracias por los servicios que le prestaron a mi mamá hasta lo último 😍😍😍😍😍']
8|https://www.instagram.com/p/Ck0y1YMrwHA/|emermedica_oficial|fannyvasquez51|['no tiene teléfono, es difícil así']
9|https://www.instagram.com/p/Ck0y1YMrwHA/|emermedica_oficial|taniadiaze|['Excelente']
10|https://www.instagram.com/p/Ck0y1YMrwHA/|emermedica_oficial|claritta932|['Siguen ampliando el pésimo servicio que ofrecen 😢 jugando con la salud y dinero de las personas , cuidado no lo recomiendo lean los comentarios antes de afiliarse😮']
12|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|bibisan1|"['Pésimo servicio, nunca lo uso y el día de hoy 19/11/2022 se me presentó una emergencia con mi mamá una señora de 80 años, llamé desde las 11:00 am y son las 5:00 pm y no ha llegado a atenderla y llamo y me dicen ""señora la atención es en el transcurso del día y el día se acaba a las 12:00 de la noche"". Terrible me sentí atropellada, que mal servicio. NO SE AFILIEN!!!!!']"
13|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|coachrafaelrodriguez|['Cuando me quiero desafíliar y me dejan 59 minutos en línea … eso se llama ATRACO']
14|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|claritta932|['Yo me afilie y a la semana me quise salir el servicio es pesimo mas de 2 semanas haciendo un cambio de beneficiario cuando me di cuenta que no pudieron, cancele el servicio y sin embargo me estan cobrando otro mes, DESPUES DE CANCELAR EL SERVICIO, y me ostigan cobrandome por alho que ya cencele, me eviaran a cobro juridico, me pondran en centrales de riesgo y no entiendo porque si yo cancele el pesimo servicio que prestan']
15|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|reina.guzmanyermanos|['La Mejor opción para tener un medico siempre!😍']
16|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|mariacafs|['Jajaja eso era antes, cuando realmente prestaban un SERVICIO, ahora no, nada amerita visita médica según ellos... No para los niños, menos los ancianos, nada es vital ahora... Se volvió más q malo. Ahora es mejor ir a la EPS']
17|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|malu0072|['Pero esa atención solo sucede si i es una urgencia de resto cuando uno llama le dicen que no envían personal porque eso no es una prioridad y los médicos tienen casos de prioridad y lo digo porque es a mi me la han hecho varias veces casi nunca los llamo y eso que llevo años con ellos y cuando llamo solo me dicen que me tomé una pastilla y que descanse y no me mueva depende de lo q me este pasando en el momento entonces es casi igual q una EPS']
24|https://www.instagram.com/p/Cj0NQdMNXZF/|emermedica_oficial|medicodrparra|['👏']
27|https://www.instagram.com/p/CjkwgpTBuX2/|emermedica_oficial|asttra_co|['Dolor de cabeza y de estómago me da la atención al cliente de @emermedica_oficial , no sé que más tengo que hacer para poder cancelar el servicio, ya pagué ya llamé pero nunca contestan para cancelar un servicio y no puedo solicitar el paz y salvo sin la radicación de cancelación... Pero nunca contestan para radicar una cancelación...']
28|https://www.instagram.com/p/CjkwgpTBuX2/|emermedica_oficial|valemary08|['🔥👏🏾']
29|https://www.instagram.com/p/CjkwgpTBuX2/|emermedica_oficial|carlosantonio0808|['Me gustaría afiliarme']
30|https://www.instagram.com/p/CjkwgpTBuX2/|emermedica_oficial|frankcaitacoronado|['😢😂😂😂']
34|https://www.instagram.com/p/CispSgpPwHB/|emermedica_oficial|mercedesbens716|['Yo done ese pedaso de hueso en mi cirugia de cadera espero sirva muchisimo al q lo necesite']
37|https://www.instagram.com/p/CiXneo9rG34/|emermedica_oficial|encantados_tienda|['El colmo que tenga una bebé y solicité un servicio presencial y pasaron más de 7 horas y nunca llegaron! @emermedica_oficial que mal servicio al cliente y la solución es cancelar porque será que acaso uno duerme por esperarlos! Por eso uno compra un servicio de estos para evitar ir a la EPS por la demora, pero ustedes si están es repasados! #malaatencion#emermedicamalservicio#serviciosmedicosperoaquecosto']
38|https://www.instagram.com/p/CiXneo9rG34/|emermedica_oficial|raksay.12|['Además me borraron los comentarios que había realizado pidiendo apoyo por redes sociales :(']
39|https://www.instagram.com/p/CiXneo9rG34/|emermedica_oficial|eldementiras|['jajajaja muy bueno']
42|https://www.instagram.com/p/Ch4nGaWjFbQ/|emermedica_oficial|paolauribeseguros|['😢']
43|https://www.instagram.com/p/Ch4nGaWjFbQ/|emermedica_oficial|medicodrparra|['😂']
44|https://www.instagram.com/p/ChuT8-UBZSY/|emermedica_oficial|pia_zuram|['Buenos días, podrían decirme por favor sí Uds tienen servicio de enfermería o acompañamiento? Gracias 😊']
45|https://www.instagram.com/p/ChuT8-UBZSY/|emermedica_oficial|encasaterapiasysalud|['👏👏👏']
46|https://www.instagram.com/p/Chmlg5SlPW2/|emermedica_oficial|ppalaciosm|['Cientos… necesite uno para mi papá pasaron mas de 12 horas y varias llamadas a servicio al cliente para que llegara…']
47|https://www.instagram.com/p/ChcSUu3sz2E/|emermedica_oficial|carlosamamerica|['Con cuáles especialista']
48|https://www.instagram.com/p/ChcSUu3sz2E/|emermedica_oficial|carlosamamerica|['Días como amanece']
57|https://www.instagram.com/p/CgemKz9sROt/|emermedica_oficial|danielneirap|['❤️🙌']
58|https://www.instagram.com/p/CgRuJBUM_AB/|emermedica_oficial|mauricioparedesgomez|['Muy tristes los servicios de EMERMEDICA en Bucaramanga, los médicos NO trasladan pacientes a una clínica porque dicho por ellos mismos SE ENCHICHARRONAN, ese es el servicio que prestan.\nUna paciente con dolor crónico, de 78 años nunca la quisieron trasladar, según ellos no la recibirían, una paciente de difícil traslado por nuestros propios medios, por su misma condición, sólo hasta que por una orden médica sugieren dicha hospitalización EMERMEDICA decide trasladar, pero estamos hablando de meses, de venir en varias oportunidades a ver al paciente y con solo camuflar el dolor con algún medicamento, esa era toda la atención, nunca fueron más allá, nunca intentaron llevar una paciente a un hospital y que solucionaran el tema de otra manera.\nFinalmente un tumor que presionaba la medula espinal era la causa del dolor, para lo que Emermedica nunca fue una urgencia, aún cuando se les mostraban diferentes exámenes que se habían practicado de manera particular.\nPero este es solo un reflejo más de nuestro pobre sistema de salud, donde los médicos tienen la última palabra, un sistema de salud donde está incluido EMERMEDICA que es poco humano, poco cercano, donde si el medico está iniciando turno no se enchicharrona, y si está terminando turno menos.']
59|https://www.instagram.com/p/CgPJZLasDLu/|emermedica_oficial|frankcaitacoronado|['❤️❤️❤️']
60|https://www.instagram.com/p/CgPJZLasDLu/|emermedica_oficial|danielneirap|['Excelente mensaje!!!']
61|https://www.instagram.com/p/Cfw6uN0uznA/|emermedica_oficial|mariah_mein|['😂send it @jst_laugh_']
62|https://www.instagram.com/p/CfMnLiPFYLx/|emermedica_oficial|danielneirap|['Muy buen mensaje!']
63|https://www.instagram.com/p/Ce1wCFYJlnj/|emermedica_oficial|francynova|['@haroldballesterosm 😂😂']
64|https://www.instagram.com/p/Ce1wCFYJlnj/|emermedica_oficial|danquesad|['Jajajajaajaha']
65|https://www.instagram.com/p/Ceyt6eaMvqS/|emermedica_oficial|lorencitavp|['Gracias por hacer a sus afiliados esperar 7.5 horas para una consulta domiciliaria 👏👏👏👏👏👏👏 el mejor servicio del pais']
66|https://www.instagram.com/p/CehMa53Pdgp/|emermedica_oficial|zandrayepes|['😂😂😂']
67|https://www.instagram.com/p/CehMa53Pdgp/|emermedica_oficial|marga_evey|['😂send it @jst_laugh_']
73|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|galaumajo|['Exijo una explicación y la devolución de mi dinero inmediata mente']
74|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|galaumajo|['Hola, hace ya cuatro meses me retiré de Emermedica, hubo varias situaciones por parte de ustedes que no me gustaron y decidí que no eran las perdonas que necesitaba para atender a mi padre de 89 años de edad. Me afilié con otra entidad prestadora de estos servicios . Hoy estoy viendo, después de varios meses de retirarme, que ustedes están debitando de mi cuenta nueva mente la mensualidad!!! Me siento atracada por ustedes y me veo en la penosa necesidad de denunciar este atropello!! Si yo hablo por horas con un funcionario de ustedes manifestando mi deseo de no continuar con su servicio y me da un código y me dice que el siguiente mes será descontado y luego ya queda cancelado pero ustedes continúan devengando mi plata!!! No sean abusivos cope favor! A donde más puedo acudir por Dios!!!']
75|https://www.instagram.com/p/CdMPHx0rLaV/|emermedica_oficial|jack_jomedy|['😂send it @jst_laugh_']
76|https://www.instagram.com/p/CdI7oJPs8aH/|emermedica_oficial|victoriacarolina.jaimesnaranjo|['Aún tienen promociones?']
79|https://www.instagram.com/p/CciSp6KLxwU/|emermedica_oficial|anglikita88|['👏👏Maravilloso👏👏los mejores del mercado! #emermedica']
81|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|mmora922|['Pésimo servicio de entrega de resultados de laboratorio, un resultado que debe ser de un día para otro lleva 10 días sin ser entregado y nadie responde.']
82|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|sonatatapabocasn95|['Pésimo servicio']
83|https://www.instagram.com/p/Cbu6p41PR4z/|emermedica_oficial|carix5|['El peor servicio de medicina domiciliaria. Nunca atienden en Bogotá llegan 2 dias después asi el servicio tenga prioridad y sea la salud de niños pequeños. No lo recomiendo para nada. Pésimo siempre colapsado.']
84|https://www.instagram.com/p/Cbkgobbte12/|emermedica_oficial|frankcaitacoronado|['¡Quien se cuida es quien lo goza! ❤️']
85|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|mafequila|['😂😂😂😂']
86|https://www.instagram.com/p/CbiCq_DFsVc/|emermedica_oficial|gonzalezahixa|['😮😮😮']
