|p_url|target|comment_author|comment
1|https://www.instagram.com/p/ClZl_9WuGW-/|grupo_coomeva|rocio_quinones|['😮']
4|https://www.instagram.com/p/ClY56FrMiSX/|grupo_coomeva|dayanamejiamar|['🙌']
8|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|iescorci11|['#LaFiestaPerfecta Brasil 3 Serbia 0']
9|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|paola_andrea_hoyos|['Brasil 2 - Serbia 1 #fiestaperfecta']
10|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|jxnnix.x|['Brasil 2-0 Serbia #LaFiestaPerefecta']
11|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|iandrea87|['Brasil 2 - Serbia 1 #LaFiestaPerfecta']
12|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|alexandrahurtado24|['#LaFiestaPerfecta el marcador queda 3-2 Ganando Brasil ⚽️⚽️⚽️']
13|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|anarealpe_0503|['#LaFiestaPerfecta Brasil 2 - servía 1']
14|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|julioccord|['3 - 1 ganando Brasil #LaFiestaPerfecta']
15|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|veronicafyc|['#LaFiestaPerfecta Brasil 5 - Serbia 2']
16|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|orozcfep|['Brasil 3-2 Serbia #LaFiestaPerfecta']
17|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|jennylorena12|['Brasil 3 - serbia 1']
18|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|melybay_|['4-0 gana Brasil #lafiestaperfecta']
19|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|dorismarina.pitaherrera|['#lafiestaperfecta Brasil 1-servia 2']
20|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|magenys|['#LaFiestaPerfecta Brasil 5 Serbia 0']
21|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|nathaliaflorez_|['Brasil 3 serbia 1 #lafiestaperfecta']
22|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|eileentriana|['#lafiestaperfecta Brasil 3 - Serbia 0']
