|p_url|target|comment_author|comment
0|https://www.instagram.com/p/ClXOfA_Nxl_/|grupoemi|colagenopep_ejecafetero|['Yo lo hago 20/4 y me ha encantado, ah! Solo una vez a la semana 🙌']
1|https://www.instagram.com/p/ClUjmgqNUZF/|grupoemi|colagenopep_ejecafetero|['Te amo EMI! 😍']
2|https://www.instagram.com/p/ClUjmgqNUZF/|grupoemi|astridlopez5487|['@andreachalarca_']
5|https://www.instagram.com/p/ClCh8ADMqG0/|grupoemi|luccarotta_19|['SUPER INTERR']
6|https://www.instagram.com/p/ClCh8ADMqG0/|grupoemi|luccarotta_19|['SUPER INTERESANTE GRACIAS}']
7|https://www.instagram.com/p/ClCh8ADMqG0/|grupoemi|colagenopep_ejecafetero|['@clamizulu']
10|https://www.instagram.com/p/Ck1p3JaSG5X/|grupoemi|arreboles_3|['Emi me ha acompañado en los momentos más difíciles, GRACIAS EMI👏👏👏👏']
11|https://www.instagram.com/p/CkzEoa6tVr1/|grupoemi|anamariacomparte|['#pesimoservicio #malservicio #demorado #desmejorado #norecomendado #grupoemi Es inaudito la forma en la que los paramédicos tratan telefónicamente a los pacientes, a sus familias. Falta de profesionalismo, irrespecto, total falta de empatía.']
12|https://www.instagram.com/p/CkwgjDRPIGU/|grupoemi|laurasuarezt|['Están desmejorando su servicios, ya no ponen ni inyección y demoran hasta 4 horas en llegar. Ayer solicite un servicio desde las 8:00 pm y eran 11:30 pm y nunca llegaron 😡']
13|https://www.instagram.com/p/CkwgjDRPIGU/|grupoemi|joycerubiano|['Pedí el servicio anoche a las 10 pm y el médico llegó hasta hoy a las 7:35 am! Ese es el tremendo servicio que prestan! Y encima se ponen bravos']
14|https://www.instagram.com/p/CkwgjDRPIGU/|grupoemi|_ohheyjuliie|['Dicen que excelente servicio pero en realidad no lo es. Llamamos a las 9:30 de la mañana, y nos dijeron que llamaron la ambulancia. La ambulancia nunca llego. Nos debieron haber dicho que el servicio no estaba disponible. Llamamos el servicio al cliente y la persona lo que nos dijo fue “que quiere que haga”. No es la primera vez que pasa. No sirve.']
15|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|ceciliaescom54|['Muy bueno saberlo,muchas gracias.']
16|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|dominguez_mandis|['Excelente servicio. Muchas gracias 😍']
17|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|masterquimica|['🔥']
18|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|doralbapineda|['👏👏👏']
19|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|luzmarinaduarteram|['❤️👏👏']
20|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|taliavergaras|['👏👏👏']
21|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|carmengua14|['Interesante esté servicio gracias ☺️']
22|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|andrea.ortizortiz.37|['❤️🙌']
23|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|montesluzstella|['Súper , los felicito , excelente atención']
24|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|gordo.0426|['EXCELENTE']
25|https://www.instagram.com/p/Ckt7NblrG94/|grupoemi|melvaduque.santa|['Excelente noticia...gracias']
26|https://www.instagram.com/p/CkrWqz8O9uC/|grupoemi|raquel.g.angel|['Como podemos ver que especialista tienen convenio con uds']
