|p_url|target|comment_author|comment
0|https://www.instagram.com/p/CjI3WIyuEIK/|medplus.mp|sandritav30|['Hola nadie contesta en el call center, a donde nos comunicamos???']
4|https://www.instagram.com/p/ClRArn-oqmP/|medplus.mp|lashpereira_|['Que buen consejo']
8|https://www.instagram.com/p/ClEItFcMl6O/|medplus.mp|moni.jimenez07|['👏']
9|https://www.instagram.com/p/ClBj6TXhEFC/|medplus.mp|german.seguros.financieros|['Excelente gracias']
11|https://www.instagram.com/p/CkvbfC4IZYE/|medplus.mp|claupadillat|['Cuando habilitan urgencias pediatricas?']
12|https://www.instagram.com/p/CkvbfC4IZYE/|medplus.mp|gagonzalez1977|['Para cuándo la clínica azul en Villavicencio??']
16|https://www.instagram.com/p/CkRnkA0pAu4/|medplus.mp|pauwise|['Terrible sus servicios, rechazaron un ingreso por condición de salí, entendible, pero llevo un mes y medio esperando el reembolso de mi dinero y el intermediario o asesor que contacte para vender la póliza muy diligente pero para responder por un reclamo nunca tiene tiempo! Tampoco me da una línea para llamar y el call center no soy afiliada así que después de digitar la cédula no permite continuar! JAMÁS recomendaría esta medicina prepagada']
17|https://www.instagram.com/p/CkRnkA0pAu4/|medplus.mp|sofi_suancha|['Mi sobrina requirió este servicio, llamamos a Emermédica pero nos dijeron que debíamos primero comunicarnos con Medplus para que autorizaran el servicio, según me indicaron Medplus llamaba a Emermédica, autorizaba el servicio y luego debíamos llamar nosotros, mw pareció muy enredado, me gustaría que nos contarán cuál es la forma correcta de usar este servicio con cualquiera de estos dos operadores']
19|https://www.instagram.com/p/CkL1Jd5p0WJ/|medplus.mp|tatiana.g.bedoya.3|['Me podrían dar el contacto de un asesor']
20|https://www.instagram.com/p/CkL1Jd5p0WJ/|medplus.mp|tatiana.g.bedoya.3|['Buenos días']
21|https://www.instagram.com/p/CkI2t_hOpJj/|medplus.mp|von_niente|['🤨']
22|https://www.instagram.com/p/CkI2t_hOpJj/|medplus.mp|parraaraujo|['Así es']
23|https://www.instagram.com/p/CkI2t_hOpJj/|medplus.mp|diegoalejandrobarraganc|['😮']
29|https://www.instagram.com/p/CjDaZ-cuVUL/|medplus.mp|willianrolandoruiz|['Como hago para ingrrsar']
30|https://www.instagram.com/p/CjDaZ-cuVUL/|medplus.mp|willianrolandoruiz|['Buenas tarded']
32|https://www.instagram.com/p/Ci09xfVpzoR/|medplus.mp|admedia_rock|['🤘🏽😎🤘🏽']
33|https://www.instagram.com/p/Ci09xfVpzoR/|medplus.mp|le_gonzale|['❤️❤️']
34|https://www.instagram.com/p/Ci09xfVpzoR/|medplus.mp|medplus.mp|['👉🏻Dato importante: para conocer los ingredientes puedes ver el reel anterior y hacerle screenshot a la lista del video 📝']
37|https://www.instagram.com/p/Civ3qwBM7rU/|medplus.mp|sofi_suancha|['Excelente servicio, nos han atendido de maravilla, seguido me hacen llamadas para verificar cómo han estado los servicios que he tomado, las citas súper rápidas 👏👏']
38|https://www.instagram.com/p/Civ3qwBM7rU/|medplus.mp|claudia.p.galindo|['Excelente servicio en la clínica azul!']
39|https://www.instagram.com/p/Civ3qwBM7rU/|medplus.mp|olguiegbgb|['Que dirá Shakira de esta publicidad … @shakira']
40|https://www.instagram.com/p/Civ3qwBM7rU/|medplus.mp|clarisbeauty|['Lo que no dicen es que las agendas de los especialistas son tan complicadas que no hay un seguimiento real del tratamiento Y que el servicio al cliente es peor que en cualquier eps subsidiada.... Eso no lo dicen.']
43|https://www.instagram.com/p/CioI4UBsMzy/|medplus.mp|jaime_andresperezbecerra|['🤔']
45|https://www.instagram.com/p/CiNytc5uUow/|medplus.mp|oscarjspa|['Muy bonita la revista. Lastima que la atención sea como la de cualquier mediocre EPS y no vale la@pena pagar por un “mejor servicio de salud” que de complementario o VIP no tiene nada. Pésimo servicio']
47|https://www.instagram.com/p/ChuavhDI0gx/|medplus.mp|luimillan15|['Que lastima! Fueron buenos, ya súper mal servicio.']
50|https://www.instagram.com/p/ChU4lhwMZKi/|medplus.mp|cayita.martinez.17|['🙌👏👏👏👏']
53|https://www.instagram.com/p/Cg47-dasuqR/|medplus.mp|pierre_vargasp|"['Esta entidad es lo peor que se pueda hacer en la vida, retienen a las personas hasta su máxima expresión imponiendo clausulas abusivas para no tramitar la terminación anticipada del contrato, de que me sirve un servicio que tenia convenio con la Clinica Marly de chia y que de un mes para otro sin aviso previo terminaron el convenio y dejaron en Chia solo el servicio con la Clinica de la Universida de la Sabana que ultimamente no tiene todas las especialidades? Dicen que se aseguran de tener atención integral, pero esa atención integral está en Bogotá y yo no vivo allá, entonces me toca ir hasta allá para hacer uso del servicio porque de buenas les dio por terminar el convenio sin aviso previo? Y ahora para rematar como YA NO ME SIRVE, y pese haber solicitado el servicio de forma virtual y no presencial, se demoran 1 mes de respuesta desde que se radico la solicitud para ahora decir que no tramitan nada porque toca hacerlo desde una dirección en Bogotá.... Que es esto? Es un insulto y una falta de irrespeto lo que hace esta ""entidad"".']"
54|https://www.instagram.com/p/Cgzip-_siMX/|medplus.mp|marthamgiraldog|['Los que no vivimos en Bogotá.... A esperar se dijo']
63|https://www.instagram.com/p/CgXI3FCMlaW/|medplus.mp|ferreteriasegura|['👍💙🔝👏👏']
80|https://www.instagram.com/p/Ce6SBDDl79-/|medplus.mp|angelicapmartinezb|['Diana Bernal la peor profesional que tiene ese centro médico']
83|https://www.instagram.com/p/CetaBK0s8tF/|medplus.mp|pinzonblues|['Uno pide el servicio de médico domiciliario para hoy y lo pueden estar atendiendo cualquier día del año!!!! #queporqueria']
84|https://www.instagram.com/p/CetaBK0s8tF/|medplus.mp|pinzonblues|['Hoy me negaron la atención domiciliaria!!!!']
85|https://www.instagram.com/p/CetaBK0s8tF/|medplus.mp|pinzonblues|['Es un tema absurdo que uno contrate el mejor plan de medicina prepagada, ya de ante mano averiguando si prestan los servicios completos para el área donde uno vive y que NO PRESTEN EL SERVICIO. Estoy en casa pidiendo un servicio de médico domiciliario y me dicen primero que en 4 horas me atienden, posteriormente me llaman a decir que No, que no pueden prestarme el servicio el día de hoy... En serio ustedes creen que uno paga estos servicios para que le digan a uno que ¿NO? Como si uno estuviera pidiendo el favor? O una caridad?\nYa me pasó cuando me dió COVID y estaba a punto de morir. Que la ambulancia solo llegaba hasta Zipaquirá estando Cogua (donde resido) a escasos 10 minutos; Ustedes y sus políticas son absurdos!!!!\nYa voy sumando cada vez más malas y malas experiencias.\nEn la UCI una enfermera me trató como si fuese lo peor y me tocó tragarme la lengua por temor a que en ese estado le vulneren los derechos a uno o lo maten. Después de que salí de la UCI... Me dieron la peor de las comidas hasta que 3 días antes de salir de la clínica se dieron cuenta que yo era VIP... Que mal!!!! A la gente que no es VIP la tratan como basura!!!! Y hoy por hoy ni siquiera pagando el mejor plan uno recibe lo que paga!!!! A veces parecen una vulgar EPS!!!\n#medplusesunaporqueria\n#Desgraciados #abusivos']
87|https://www.instagram.com/p/CeoQdzms2L2/|medplus.mp|andersongomez0714|['👏']
88|https://www.instagram.com/p/CeoQdzms2L2/|medplus.mp|almasalud_consulting|['👏👏']
100|https://www.instagram.com/p/CdYb3MTLcyQ/|medplus.mp|doris4667|['Por favor ser más claros, estoy tratando de enviarles los documentos respectivos para me aprueben los medicamentos y hasta el momento ha sido demasiado complicado']
101|https://www.instagram.com/p/CdYb3MTLcyQ/|medplus.mp|charlyprg|['Buenas noches me gustaría que me explicarán porque me niegan la autorización de unos laboratorios a realizar en un laboratorio de la red adscrita con ustedes por venir la orden médica de un particular, si ya en varias ocasiones en el mismo laboratorio y con la misma orden previamente lo han autorizado? Me obligan a tener cita con un profesional de su red para que esa persona envié los exámenes y así sí me la autoricen. No entiendo, adicional dice que eso es contractual y al leer el contrato NO dice nada al respecto. Por otro lado llamo a sacar cita con el profesional y me dicen que gastroenterología solo tienen a partir de los 15 años que debo comunicarme con alguien del directorio médico quienes tienen citas dentro de 1 mes, retrasando todo. Ya hice el reclamo en su página solicitando que me indiquen el apartado, página, etc. Donde contractualmente indican está restricción porque yo acabo de leerlo y no encuentro nada que diga explícitamente esa restricción']
102|https://www.instagram.com/p/CdUV0E4Fk5R/|medplus.mp|patri0638|['Trabajadora']
103|https://www.instagram.com/p/CdUV0E4Fk5R/|medplus.mp|andersongomez0714|['Incondicional ❤️']
110|https://www.instagram.com/p/Cc2-s-yspQA/|medplus.mp|monicalro|['Tenemos el dibujo del logo pero no sé cómo agregarlo por acá. Lo podemos hacer por facebook?']
112|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|lausuarezb|['J']
113|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|julia.bermudezlc|['❤️']
114|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|luzo.0_|['Estetoscopio con 4 imágen. Martillo con 5 imágen. Tijera de cirugía con 1 imágen. Bisturí con 2 imágen. Otoscopio con 3 imágen. att: Alejandro.']
115|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|eddy_nelcycarreroasesordesalud|['@kumarigonzales']
116|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|eddy_nelcycarreroasesordesalud|['Estetoscopios']
117|https://www.instagram.com/p/CcvQYiaslFN/|medplus.mp|yenicitaoc|['Tijera imagen 1\nBisturí imagen 2\nOtoscopio imagen 3\nEstetoscopio imagen 4\nMartillo imagen 5\n@kate.carvajal @alejandracerquera2013']
