|p_url|target|comment_author|comment
0|https://www.instagram.com/p/Cj5jXtyDm1_/|saludtotalpac|clara_jota|['Mal muy mal esos médicos generales que manejan !!! Cera vocación de servicio!!! En especial en la ciudad de Barranquilla']
1|https://www.instagram.com/p/Cj5jXtyDm1_/|saludtotalpac|clara_jota|['Deberían mejorar los@médicos generales porque creen que pueden tratar mal a los pacientes y eso tb es acoso !!!!!']
2|https://www.instagram.com/p/Cj5jXtyDm1_/|saludtotalpac|clara_jota|['Y no deberían borrar los mensajes porque uno paga por este mal@servicio']
12|https://www.instagram.com/p/Ckv5k3EIYR_/|saludtotalpac|luznidiacastrorojas|['Mi salud total ❤️']
14|https://www.instagram.com/p/CkqXUBsrqOi/|saludtotalpac|vivian_luna7|['Y para autorizar cita con sicología?? Ya intenté todos los medios y no he podido.']
15|https://www.instagram.com/p/CkqXUBsrqOi/|saludtotalpac|damarismatute15|['❤️']
20|https://www.instagram.com/p/CkWMKN7g7K5/|saludtotalpac|luissuarezaparicio|['Pero no hay ni como comunicarse con ustedes, cual es la línea de atención para los que estamos en el plan']
22|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|esperan5805|['El servicio domiciliario en Chia es pésimo , no son Dres , muy calificados y nunca mandan la historia clínica para poder acceder a los otros servicios . \U0001f979']
23|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|esperan5805|['Tengo plan Gama y llevo más de dos meses tratando de conseguir Cira con un ortopedista en Nogales y no hay agenda']
24|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|alfrinmendoza|['Vaz a una cita presencial por medio del pac y para autorizar una orden para unos laboratorios, debes ir hasta la oficina administrativa, allá te dan un turno para que vayas otro día, no me parece, vaz a un cita en uab y te da la orden autorizada.']
25|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|julian.smazzo|['Hola, dónde consigo información de los planes complementarios?']
26|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|carosigi|['El plan domiciliario en la ciudad de valledupar no existe no lo conocen']
27|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|tati_cabarcas|['Como hago para adquirir un plan']
28|https://www.instagram.com/p/CkQ6-aBPOVL/|saludtotalpac|edith.bernal.5680899|['Co.mo hacemos para afiliarnos nosotros tenemos salud total pero el hijo nos tiene afiliados aemi']
