|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/ClZpjy_ptJJ/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316820245_950453252589586_3125514812746715381_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Qd5kZYX11h4AX-j4lPX&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTU5NTQwODMyNTkyMzQwMQ%3D%3D.2-ccb7-5&oh=00_AfC6TpTnCF_kZKuO7w_0OR6Yc5RcL42CCTNsP02MCeQWUQ&oe=6385B72A&_nc_sid=30a2ef|blob:https://www.instagram.com/6b608637-49d6-418d-bda6-e541490cbfd6|['Hoy 25 de noviembre, en El Día Internacional de la Eliminación de la Violencia contra la Mujer aprendamos a reconocer cuáles son los tipos de acciones contra ellas para identificarlos y dar una mano a quien lo necesita.']|Me_gusta|2|['']|2022-11-25 22:31:29+00:00
1|https://www.instagram.com/p/ClMw-16p_T0/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316176416_447227530924566_5877051697124912126_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=k4Y8N07OC2AAX8Gs9MS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NTk2ODg3ODUxNzU0ODI3Ng%3D%3D.2-ccb7-5&oh=00_AfB4GOKvAHyq4cpiyW8skz_vysOKLs5PuWz3niWsWw7gRw&oe=6385DC54&_nc_sid=30a2ef|blob:https://www.instagram.com/121567f5-5aa9-41e9-ab0a-905f407b154a|['En el día del psicólogo celebremos la labor de estos profesionales con superpoderes que te ayudan a fortalecer tu salud mental ❤️ ¿Qué mensaje le darías en su día?']|Me_gusta|25|['']|2022-11-20 22:27:15+00:00
2|https://www.instagram.com/p/ClFIULxpnLc/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315674667_189913090243224_7448182811729274550_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=nQTN_znLcVEAX-KFPB7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MzgxOTcwMDM1Mzg1NjIyMDE0MTk2OTk0ODYwNjMxNw%3D%3D.2-ccb7-5&oh=00_AfBkYvuAjXtvpGb1oKHgus-lE8Z2_EGN_btiyq6o4YfP3A&oe=6386B3ED&_nc_sid=30a2ef|blob:https://www.instagram.com/b3b22a8d-de46-4086-986e-a314dd7f6cf6|['Su orientación en la vida de las personas es un gran aporte para la autonomía, mejoramiento de sus capacidades motrices y sociales. Gracias a los profesionales en terapia ocupacional que se encargan de aportar a la adaptación de nuestros pacientes al entorno y mejorar su calidad de vida.❤️']|Me_gusta|23|['']|2022-11-17 23:19:02+00:00
3|https://www.instagram.com/p/Ck8lPLrKG9C/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315307997_2202717629930726_8970141635248035192_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=5I7AvzZwpz4AX_40iDN&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MTQxMzYxNDI3NTc1ODQwOA%3D%3D.2-ccb7-5&oh=00_AfBwRfbNTwGfWTLmNy4BTLkPf5ZNoNfirvymHhEVZOCodQ&oe=6386B08B&_nc_sid=30a2ef||['Estos tres consejos podrían ayudarte a subir el ánimo en un mal día. Compártelos y aplícalos cuando lo creas necesario. ❤️\u200d🩹']|Me_gusta|36|"[""Photo by Colmédica on November 14, 2022. May be an image of 1 person and text that says '>>>> Consejos para subir tu estado de ánimo'.""]"|2022-11-14 15:35:28+00:00
4|https://www.instagram.com/p/Ck4JbeAtqG-/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315200385_844986690149813_7545276315475241537_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6UOAPo1gcRsAX_G_Oy9&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDE2NTQyNDMxOTUzNzU5OA%3D%3D.2-ccb7-5&oh=00_AfDnWGeOmgk43IfMxWOYgMvDAhmMG1h7gJ4o93lTrxNZJA&oe=6385C58E&_nc_sid=30a2ef|https://scontent-bog1-1.cdninstagram.com/v/t50.2886-16/314638773_1345235299562460_2160027442323267846_n.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ19wcm9ncmVzc2l2ZV91cmxnZW4ucHJvZHVjdF90eXBlLmZlZWRcIl0ifQ&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=rYC61wEbRNsAX8kc2lC&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfBgN7YygRlpYusCPAmtrFYGOXE2MF09d7hLKTQfndCYIQ&oe=6382E7C9&_nc_sid=30a2ef|['Que el estrés no maneje tu vida, recuerda que puedes mantener el control, sigue estos tips.\n\n\n#salud #bienestar #respiracion #medicina #estrés #mente #colmedicaaquicontigo #reel #fyp #saludmental #tecnicaderespiración']|Reproducciones|2023|['']|2022-11-12 22:15:38+00:00
5|https://www.instagram.com/p/Ck3oTeYtPHi/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315354401_3369532643331447_9093872369959903703_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=qoc_JHGM13gAX83ItjH&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDAxOTczMzc3NzQ2ODkyMQ%3D%3D.2-ccb7-5&oh=00_AfBY9_SGEDR_yi27DZUIAJIuAZHUxG67lBWN-WZBFU11Fg&oe=63869571&_nc_sid=30a2ef||['Esta es la edición de noviembre de la revista Vivir Bien especializada en contenidos para una vida saludable. Conócela en www.vivirbiencolmedica.com.']|Me_gusta|29|"[""Photo by Colmédica on November 12, 2022. May be an image of 1 person, body of water and text that says 'Te traemos nuevos contenidos de vida saludable en la edición de noviembre de la revista vivirbien >>>'.""]"|2022-11-12 17:26:04+00:00
6|https://www.instagram.com/p/Ck3Y0jkJxAT/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315059664_1828885864129886_6747669731924783982_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=JDkTB2HkEqoAX8JvgoV&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTk1MTY0Mzk5MDY5MTg1OQ%3D%3D.2-ccb7-5&oh=00_AfDKkiDQ3P2DiIs2ASL6SUT0fYn7-wmF-q9wj88Lm-C7GQ&oe=6385AA7E&_nc_sid=30a2ef|blob:https://www.instagram.com/48d370a4-8019-4e77-b9f8-4275636d1dea|['El celular es portador de muchas bacterias, que si no lo desinfectas constantemente, podría generarte colitis, diarrea y dolor de garganta ¿ya limpiaste tu celular el día de hoy? 📲\U0001fae7']|Reproducciones|409|['']|2022-11-12 15:11:23+00:00
7|https://www.instagram.com/p/Ck1dvmNruIV/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314988108_2048357192023160_8154242829343689374_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=neSyrEtUS_QAX_MXo01&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTQxMDM0MzUxNjY5MzAxMw%3D%3D.2-ccb7-5&oh=00_AfDsaaMhmazRcd7A42_W7zQcvH0R5pWqEEpDwn7y4tDcFQ&oe=6386E07E&_nc_sid=30a2ef||['La @clinica_delcountry cumple 60 años trabajando por el bienestar de los pacientes y hoy quiere renovar este compromiso agradeciendo a las generaciones que la han acompañado hasta el momento y manifestando su deseo de conectar con las que vendrán. Conoce su historia y misión en bit.ly/3fWBHUC.']|Me_gusta|67|"[""Photo by Colmédica on November 11, 2022. May be an image of text that says 'AQUÍ CONTIGO es contar con aliado de calidad, por eso celebramos con la Clínica del Country en su aniversario 60 Clínicadel Country COL MÉDICA'.""]"|2022-11-11 21:15:19+00:00
8|https://www.instagram.com/p/Ck0u2qaPGpR/|colmedicamedicinaprepagada|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314986609_2415180318629108_7493477246756680525_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=vtaOJd-nu0QAX--HiKR&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTIwNDExNjY4Njg2Mzk4Mw%3D%3D.2-ccb7-5&oh=00_AfDDh3u3_FP1dOOQqM0KDFLuJWQVyy3IhFqkEHNqcF3kcg&oe=6385C644&_nc_sid=30a2ef||['¿Sabías que los roedores como las ardillas podrían ser transmisores de la viruela símica? Aquí te contamos unos tips muy sencillos para evitar su contagio.']|Me_gusta|16|"[""Photo by Colmédica on November 11, 2022. May be an image of text that says '0 >>> Te contamos cómo prevenir la viruela del mono'.""]"|2022-11-11 14:25:35+00:00
9|https://www.instagram.com/p/Ckt2vk0D92l/|colmedicamedicinaprepagada|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314653712_672437011107017_2795982717983105367_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=D2QoqwRrF1MAX9XUDOO&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2NzI2ODQ5MzM2MjE5MTc4MQ%3D%3D.2-ccb7-5&oh=00_AfBDBWB3HMvFpXYceKUybSe2_auaQC3H5E3QpXWz1n0R3g&oe=63863404&_nc_sid=30a2ef|https://scontent-bog1-1.cdninstagram.com/v/t50.16885-16/314430613_173562358684324_8417370149382032849_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEwODAuaWd0di5oaWdoIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=N4Y52adzmBQAX_Zxuye&edm=ALQROFkBAAAA&vs=1487668441646128_3615348644&_nc_vs=HBksFQAYJEdKWFV2UktrV3J5aTJwMEFBTkdONU1DTmdkQjBidlZCQUFBRhUAAsgBABUAGCRHR3oydkJLTWRha0pDZnNEQUM0RUlKcG40U3RtYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACaq%2BLTR3OiQQBUCKAJDMywXQEAAAAAAAAAYEmRhc2hfaGlnaF8xMDgwcF92MREAdewHAA%3D%3D&_nc_rid=ceed8ad178&ccb=7-5&oh=00_AfDMUnGZtcbX3z1M3p000jX0H6i4H97Mi0QhpiL4NMGa4A&oe=6382FCEB&_nc_sid=30a2ef|['Te contamos algunos alimentos que te ayudarán a subir tus defensas si los incluyes en tu dieta. ¡Guarda este post y compártelo con tus amigos! 😋😉']|Reproducciones|1267|['']|2022-11-08 22:20:12+00:00
