|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/ClWDb1puC9L/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316710016_860609898405969_4478879482707810128_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=KCkj2F98EYwAX_3561x&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODU4MzMwNTg0Mzg0NDk3MQ%3D%3D.2-ccb7-5&oh=00_AfBDAmwqn6YHcKYxBSmQSB9sznjOFmh916tfQROOuBGEIw&oe=63863994&_nc_sid=30a2ef||['¡Llegó la cápsula mundialista Emermédica! Hoy te dejamos 4 curiosidades de los mundiales de fútbol que quizás no sabías. ¿Conocías alguno de éstos datos curiosos? Cuéntanos en los comentarios']|Me_gusta|12|"[""Photo by Emermédica on November 24, 2022. May be an image of ball and text that says 'emermédica Porque salud nos mueve. CÁPSULA MUNDIALISTA EMERMÉDICA 4 curiosidades mundialistas que quizás no sabías. 0 0000'.""]"|2022-11-24 13:00:22+00:00
1|https://www.instagram.com/p/ClQ56IVs7Ul/|emermedica_oficial|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316509112_817295779549068_2374088482508021226_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=SvLoX_kp7NYAX8sZvvI&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NzEzNDAzNzAyNjcxNDkxNw%3D%3D.2-ccb7-5&oh=00_AfDS6Mp13Q2JWBEq9UX4-CMqyX_nGtgK86sQitDxqPd35g&oe=63856AA0&_nc_sid=30a2ef|blob:https://www.instagram.com/90b4b0ba-4dea-4d19-a24f-3f7d2cb31c38|['Ahora tener un médico cuando lo necesites es posible con Telemedicina de Emermédica.\n\nDescarga la App y siente seguro estés donde estés.\n\n- Android: https://bit.ly/AppTeleconsulta-Android\n- IOS: https://bit.ly/AppTeleconsulta-IOS']|Reproducciones|117|['']|2022-11-22 13:01:07+00:00
2|https://www.instagram.com/p/ClLwPw9Nz-s/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316689318_168717605774656_6604050839287631314_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=fgdoeedhnicAX_nlQLa&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NTY4NDE2ODM5OTY2NzExNg%3D%3D.2-ccb7-5&oh=00_AfAqaWhaplDfk2dS2e995YCTI7eMHXQ_R3FI7fc_6sEiog&oe=6386EC4E&_nc_sid=30a2ef||['Un día como hoy en 1947 se aprobó el acuerdo que independizaba el laboratorio de psicotécnica de la Universidad Nacional para así crear la primera carrera de Psicología de Colombia. ¡Felicidades y un enorme agradecimiento a todos los psicólogos en su día!']|Me_gusta|8|"[""Photo by Emermédica on November 20, 2022. May be an image of one or more people, people sitting and text that says 'emermédica Porque salud Zemermédica nos mueve. FELIZ DÍA DEL: ¿Y CäMO TE HACE SENTIR ESO? E Kapp'.""]"|2022-11-20 13:00:17+00:00
3|https://www.instagram.com/p/ClJLfD3tIDe/|emermedica_oficial|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315760485_224680969883651_9102009644190365164_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=bbA_y8xAZQsAX9K6APT&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NDk1OTU0MTgyNjEyNjA0Ng%3D%3D.2-ccb7-5&oh=00_AfCSZHNY2ANbWh-xHTDv1RiS5lXOY0dAZtFk4HhLpbNykQ&oe=6385E8B7&_nc_sid=30a2ef|blob:https://www.instagram.com/6efa4bb5-9b83-4b66-b7c3-d230ef10ca13|['¿Sabías qué significaban las siglas EPOC? Esta semana fue el día internacional de la lucha contra esta enfermedad, te contamos algunos detalles acerca de la misma.']|Reproducciones|234|['']|2022-11-19 13:00:53+00:00
4|https://www.instagram.com/p/ClG1HpLvrhl/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315774050_875300757168773_2564895916575835800_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=EnMQhhIpl-AAX-AcK61&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NDI5ODIyNTY0NjY4MDE2NQ%3D%3D.2-ccb7-5&oh=00_AfDPObyA4qaZ6HwEZYZiohtHbHEdZJqL2FRcLmxhBt-g7w&oe=6385FD34&_nc_sid=30a2ef||"['""No solo cuidamos de tu salud, también te acompañamos en todo momento 😉 Un poco de humor para alegrar la semana\n\n#Médico #Doctor #Paciente #Emermédica #Salud #Humor #Comedia #Meme #Risa #Post""']"|Me_gusta|27|"[""Photo by Emermédica on November 18, 2022. May be an image of 2 people and text that says 'Semermédica salud nos mueve. emermédica Porque YO ¿POR QUÉ... NO SABÍA ESO? Cuando descubres que Emermédica tiene servicios odontológicos, consultas pediátricas, asistencia al viajero, directorio de especialistasy mucho más.'.""]"|2022-11-18 15:06:40+00:00
5|https://www.instagram.com/p/Ck_TM6BKV0h/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315359197_1301315127360953_8228087265866959254_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=M-gmdOk2jloAX_wOikk&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MjE3ODcyODkwMTc2MjMzNw%3D%3D.2-ccb7-5&oh=00_AfDDQE30UCld3IW2R701MeoLCd9RC_tH_PJ7PAYzPmF-qw&oe=6385316B&_nc_sid=30a2ef||['Créannos, es una sensación inexplicablemente maravillosa 😅 Un poco de humor para alegrar la semana\n\n#Médico #Doctor #Paciente #Emermédica #Salud #Humor #Comedia #Meme #Risa #Post']|Me_gusta|22|"[""Photo by Emermédica on November 15, 2022. May be an image of cat and text that says 'emermédica Semermédica salud salud Porque tu nos mueve. Cuando encuentras un paciente que se toma sus medicamentos con juicio. 0'.""]"|2022-11-15 16:55:36+00:00
6|https://www.instagram.com/p/Ck3J4hvMUWX/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315350934_1251201385449984_1461403696756807675_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=AgjNi5XAPX0AX9dOBLd&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTg4NTk0NjIwODY2NzAzMQ%3D%3D.2-ccb7-5&oh=00_AfBCWYQXNJYCFZUgJHqX2gt6_rnPleeurWa-fc9h9dQ5Ew&oe=6385B1CB&_nc_sid=30a2ef||['¿Tienes tu vacuna contra neumococo y la influenza al día? Recuerda que son fundamentales para combatir la neumonía. En el día mundial contra esta enfermedad, tomemos conciencia de ella y cuidémonos entre todos.']|Me_gusta|12|"[""Photo by Emermédica on November 12, 2022. May be an image of text that says 'emermédica Porque salud nos mueve DÍA MUNDIAL DE LA NEUMONÍA ¿Qué es?: Es una infección respiratoria aguda que afecta los pulmones. ¿Cómo se contagia?:Por gia?: vía respiratoria y se puede propagar vía aérea, en gotas producidas en tosidos o estornudos. က 0057 Tratamiento:Antibióticos, hidratación, hidratación,antitérmicos yanalgésicos. Prevención. Vacunarse contra neumococo cada años, contra la influenza cada año y lavarse las manos.'.""]"|2022-11-12 13:00:15+00:00
7|https://www.instagram.com/p/Ck0y1YMrwHA/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315070612_512954260722411_1763513048463930627_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=5sh0n3Qpfc8AX_LVoEZ&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTIyMTYyNDc4NDQyMTMxMg%3D%3D.2-ccb7-5&oh=00_AfA3dH4tY1ClcrwyXjzKa5CjAj5ctNVS3baMnTyv2WljXA&oe=638652B2&_nc_sid=30a2ef||['Porque siempre trabajamos en brindarte lo mejor, nos complace informales que ya estamos operando en la ciudad de Cartagena.\nPara más información ingresa a www.emermedica.com.co\n#PorqueTuSaludNosMueve']|Me_gusta|268|"[""Photo by Emermédica on November 11, 2022. May be an image of 1 person and text that says 'emermédica Porque salud 105 Semermédica mueve SÉDICO emerméit YA ESTAMOS EN CARTAGENA PARA CUIDARTE 24/7. Consulta Médica Domiciliaria Telemedicina Atención Pre-hospitalaria deUrgencs Atención Pre-hospitalaria de Emergencias Traslados Asistidos Centro Hospitalarios'.""]"|2022-11-11 15:00:22+00:00
8|https://www.instagram.com/p/Ck0yxJMLPuP/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315226258_102449542660117_6538794588890440665_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=eMzy2SCa9_gAX_8yhDR&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTIyMTMzMzc5MTg2NTc0Mw%3D%3D.2-ccb7-5&oh=00_AfDp-NYaWf_fuCOumj_lUTa1-amjYBVLfIDgvsqQgHd2CQ&oe=638602C5&_nc_sid=30a2ef||['Porque siempre trabajamos en brindarte lo mejor, nos complace informales que ya estamos operando en la ciudad de Barranquilla.\nPara más información ingresa a www.emermedica.com.co\n#PorqueTuSaludNosMueve']|Me_gusta|271|['Photo by Emermédica on November 11, 2022. May be an image of text.']|2022-11-11 14:59:47+00:00
9|https://www.instagram.com/p/CkytJdOvJWU/|emermedica_oficial|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314930572_164438162883674_4697574034201054974_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=jdedhaZ-jqwAX9UnIgx&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2ODYzMzY2NjM0NDYyMTQ2MA%3D%3D.2-ccb7-5&oh=00_AfDxEBgP7ktRDvyUES3_DghCcAM0eYuxsqSh0YcHw11wCg&oe=6385A1E6&_nc_sid=30a2ef||['Abracémonos todos, todo eso quedó en el pasado 😁 Un poco de humor para alegrar la semana\n\n#Médico #Doctor #Paciente #Emermédica #Salud #Humor #Comedia #Meme #Risa #Post']|Me_gusta|73|"[""Photo by Emermédica on November 10, 2022. May be an image of text that says 'Semermédica mueve mueve. emermédica Porque tu salud nos 099 Yo abrazando a Emermédica porque ya no tengo que salir de mi casa y hacer filas para sacar una cita.'.""]"|2022-11-10 19:32:12+00:00
