|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/ClZs93WM6YI/|grupo_coomeva|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316854598_468125172101222_4928841490531393493_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=9pUTjeXVgRcAX9-B0G5&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTYxMDM5Mzg0NTE0NzE0NA%3D%3D.2-ccb7-5&oh=00_AfDd-Hrq9ppK0ikmtlBOJPGXyWkeHztr1ACGk69b44_VWQ&oe=6386880E&_nc_sid=30a2ef|blob:https://www.instagram.com/02f9cafe-a7cc-4e15-bbd7-c09c126eb644|['En el día de la eliminación de la violencia contra la Mujer, recuerda que todas somos madres, hijas, primas, hermanas, tias... 🌷🌺🌻🌼 ¡Alto! ¡Para! ¡Razona! La #Sextorsión es una realidad que debe ser eliminada. 🤚\n\n🤚 Comenta cuáles son las acciones que tomas en tu día a día para apoyar esta causa ⬇\n#Cooperativa #Coomeva #Niunamenos #Ciberacoso #Cibercontrol #Ciberflashing']|Me_gusta|0|['']|2022-11-25 23:01:17+00:00
1|https://www.instagram.com/p/ClZl_9WuGW-/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316809183_1321469202017925_9030973158941143714_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=eMlXidDwh1cAX_DV_u6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTU3OTc1MTQwOTY3MzY2Mg%3D%3D.2-ccb7-5&oh=00_AfDEiT11YsyH_2ahNEjEga1AUn9LksvqPdw2bgxiVtCCrA&oe=63862DD0&_nc_sid=30a2ef||['Si en tu casa primero come el hijo peludo antes de que todos, eres de los nuestros 😍 y como ellos merecen el mejor cuidado, solicita la asistencia de vacunación gratis para tu mascota por estar asociado. Ingresa al link de la bio.\n\n#Michi #gatos #michis #mascotas #hijospeludos #asistenciasintegrales #coomeva']|Me_gusta|9|"[""Photo by Grupo Coomeva on November 25, 2022. May be an image of cat and text that says 'PROTECCIÓN YO VACUNAS ALIMENTO ARENA JUGUETES'.""]"|2022-11-25 22:00:09+00:00
2|https://www.instagram.com/p/ClZcGTAsBYS/|grupo_coomeva|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316809698_843371563474384_6172219111337229705_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=cllBuE2IzH4AX-mlfDY&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTUzNjIwNjUxNDA5OTczMA%3D%3D.2-ccb7-5&oh=00_AfBIj4aTS2HOyCTqQTvj3y8YdAt-0-xSsDO6gxx5sYFsOQ&oe=638724E7&_nc_sid=30a2ef|blob:https://www.instagram.com/802ff9af-d7be-4051-9b40-a65ac936590a|['¡Pintemos el mundo de naranja! 🟧 Trabajando juntos somos más fuertes. Eliminemos la violencia contra la Mujer desde todos los escenarios 🤚.\n\n¿Sabías que la Ciberviolencia puede afectar tu día y tu vida? Hoy le decimos basta y nos unimos a este llamado ¿y tú? 🚫\n#Cooperarita #Niunamenos #Coomeva #Ciberacoso #Cibercontrol #Ciberflashing']|Me_gusta|11|['']|2022-11-25 20:33:56+00:00
3|https://www.instagram.com/p/ClZAUg8BTH-/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316992032_172675392045233_8638271772826959723_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=zSwjnlsvScUAX-vLg_c&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTQxNDAzMTgyMTQyMTM3MA%3D%3D.2-ccb7-5&oh=00_AfCt_Q5p91TgXjRAjwurbxW3r669qSpis5NT3Dfs27Acyw&oe=63855169&_nc_sid=30a2ef||['Las mujeres tienen derecho a sentirse seguras en todos los espacios donde estén, incluyendo los entornos virtuales.\n\nConoce más sobre ciberviolencia y equidad de género visitando: https://www.coomeva.com.co/equidad/ 🧡\n\n#ViolenciaContralaMujer #DíadelaEliminacióndeLaViolenciaContralaMujer']|Me_gusta|34|"[""Photo by Grupo Coomeva on November 25, 2022. May be an image of one or more people and text that says 'Tipos de CIBERVIOLENCIA en contra de las mujeres'.""]"|2022-11-25 16:30:52+00:00
4|https://www.instagram.com/p/ClY56FrMiSX/|grupo_coomeva|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316618772_208103744988683_7042887827319307833_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=72m_cCIeR5wAX-mnfUj&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTM4NTgzMzk3OTc4MjI5NTExNzkzNTcwNjYzNDYwODY%3D.2-ccb7-5&oh=00_AfB65-fB50hgAsZ3UZvKN8MJiHQULA_nNJM7NPryYMBexw&oe=6385B3F2&_nc_sid=30a2ef|https://scontent-bog1-1.cdninstagram.com/v/t66.30100-16/10000000_862967581543245_3027858608375871316_n.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ19wcm9ncmVzc2l2ZV91cmxnZW4ucHJvZHVjdF90eXBlLmNsaXBzXCJdIn0&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=FyLl8GPThjIAX_VNyir&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfAJfV_olYl5ioSWzaM9YMYK8PkjGtEdd-YEq4V4C_rihw&oe=638334E2&_nc_sid=30a2ef|['Este es un llamado al amor, al buen trato, al razonamiento y a pintar el mundo de naranja 🟧.¡Hoy decimos basta a la violencia contra la mujer! 🌻🌷 Identifica los tipos de violencia y denuncia. #Coomeva #Cooperativa #Niunamenos #Ciberacoso #Cibercontrol #Ciberflashing']|Me_gusta|29|['']|2022-11-25 15:35:22+00:00
5|https://www.instagram.com/p/ClXO-8iN_Uu/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316739471_829114204987956_7346198801027279338_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=YdVlZAII_6QAX8dqvom&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODkxNTU3MTMxNjc4MjQyNw%3D%3D.2-ccb7-5&oh=00_AfCDOmRa2wq0iaIKTJQsQucE5WuZEZiL0qRh9yzbLLC3uw&oe=63864924&_nc_sid=30a2ef||['¡Únete a nuestro Círculo de Profesionales! Haz clic al grupo que más te represente y comparte a diario con personas tan apasionadas como tú por su profesión💚 Ingresa al link de la bio⬆']|Me_gusta|23|"[""Photo by Grupo Coomeva on November 24, 2022. May be an image of 1 person and text that says '¡Lleva tu PROFESIÓN al siguiente nivel! UP'.""]"|2022-11-25 00:00:31+00:00
6|https://www.instagram.com/p/ClXBQ_yMD2I/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316642302_199250965976382_7985678227765022639_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=qgbTYQuzsL8AX9efcUF&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODg1NTI0NDU3NDc2ODUyMA%3D%3D.2-ccb7-5&oh=00_AfDwhMUjVSIQut2l-Blk2D5g6Hwh7bxRGq_W_RlKCYYtfA&oe=638681B5&_nc_sid=30a2ef||['Para cumplir tus metas, el ahorro es tu mejor aliado, conoce nuestras opciones de ahorro e inversión en www.bancoomeva.com.co #MenosExcusasMasAhorro']|Me_gusta|12|"['Photo by Grupo Coomeva on November 24, 2022. May be an image of 1 person and text that says \'EDUCACIÃN FINANCIERA Cuando ahorras puedes cubrir imprevistos y emergencias, te proyectas para cumplir tus metas y es posible que empieces a invertir para incrementar tus recursos. El ahorro es tu gran aliado ""Avanzamos ""Avanzamoscontigo, contigo, juntos hacemos posible"" /Bancoomeva Bancoomeva\'.']"|2022-11-24 22:00:39+00:00
7|https://www.instagram.com/p/ClWiTl0uBCJ/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316585369_1299677197511401_4341051151177552206_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=9adQ2NtUYQ0AX_njQAy&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODcxOTA4MzQxNjUyMjg4OQ%3D%3D.2-ccb7-5&oh=00_AfClwKkw4ciLS1D1dFG1N8kuPzshr6Mto4g67pR-KS-i4A&oe=6385B3B7&_nc_sid=30a2ef||['Conoce a los ganadores del sorteo del mes de octubre: https://www.coomeva.com.co/sorteodebito\nSigue participando y uno de los premios que sortearemos en DIC/22 puede ser tuyo* Tienes hasta el 30/NOV/22 para participar. *Aplican términos y condiciones.']|Me_gusta|12|"['Photo by Grupo Coomeva on November 24, 2022. May be an image of car and text that says \'Activar, pagar mantener tu DEBITO AUTOMÁTICO isí premia! Coljuegas .******. BigPass Regalo BigPOSS Ede Conoce a los ganadores de nuestro primer sorte del mes de octubre. Autoriza Coljuegos ""\'.']"|2022-11-24 17:30:09+00:00
8|https://www.instagram.com/p/ClWLVOIAN0a/|grupo_coomeva|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316560050_695503355180021_5889142395884359872_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=PkTPbBtVNpMAX8c5pfl&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODYxODA0MDMzOTQ1NTI1OA%3D%3D.2-ccb7-5&oh=00_AfBTKljYdoVDgNzDJW3Lq8b3qPN9xyI7CWnQzOzZpb8K5A&oe=63854C30&_nc_sid=30a2ef|blob:https://www.instagram.com/4c87080a-40ac-4a46-8760-5e7ab52c2b54|['Ya van a empezar las fiestas, las fiestas de navidad🎄🥳 y queremos que tú vivas #LaFiestaPerfecta acompañado de todas tus personas favoritas💚\n\nSíguenos en nuestro instagram y comenta el marcador para Brasil vs Serbia usando el #LaFiestaPerfecta, y si eres de las primeras dos personas en acertar, podrás ser el ganador de un bono Frisby de $50.000 para iniciar con toda la gozadera de diciembre🥳\n\nTyC en el link de la bio.']|Me_gusta|112|['']|2022-11-24 14:10:21+00:00
9|https://www.instagram.com/p/ClUjYzArBQz/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316695379_1799518830411467_5679595476330907873_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=xEF4nAN9G1sAX_0O3G2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODE2MDg4OTI2NjE4MTE3MQ%3D%3D.2-ccb7-5&oh=00_AfBz4vqgTZa51EYegV5ETIr63MsUGymYW15gsgu4b8GrHA&oe=63868339&_nc_sid=30a2ef||['Conéctate este 25 de noviembre y conoce sí eres tú el GANADOR del Sorteo Pinos Millonarios ➡ https://www.coomeva.com.co/pinosmillonarios']|Me_gusta|25|['Photo by Grupo Coomeva on November 23, 2022. May be an image of 1 person and text.']|2022-11-23 23:01:07+00:00
