|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/ClXOfA_Nxl_/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316675639_207031738354072_2270559648210722402_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=59kDkNiwdCMAX_qbNM7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODkxMzM4MjU0NDM4MjMzNQ%3D%3D.2-ccb7-5&oh=00_AfC6h77ioA4wRkP6AEtuMUxs1tkVaMmISREmjC7w5frPbQ&oe=63861C61&_nc_sid=30a2ef||['👨\u200d⚕ El ayuno intermitente puede mejorar ciertas condiciones de salud, si estas interesado en conocer sobre esta práctica en el link de nuestra bio ☝️ puedes encontrar información más detallada.\n\nY tú 🤔 ¿lo has practicado?\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|35|"[""Photo by Grupo Emi Colombia on November 24, 2022. May be an image of text that says '1 Tipos de ayuno intermitente 16-8 Durante horas día nose consumen alimentos as tras ocho horassí. 5-2 Se practican días ayuno la semana, por general consecutivos. 24 hrs. o ayuno completo No consumen alimentos durante día entero. Si deseas comenzar implementarlo rutina, recomensamos que hagas de mano de un nutricionista. Memi emi FALCK'.""]"|2022-11-24 23:56:09+00:00
1|https://www.instagram.com/p/ClUjmgqNUZF/|grupoemi|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316893299_518764203509804_106337551089496899_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=7SvG-OY8SB4AX_svxUu&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3ODE2MTgzMTYzNDYxNzkyNQ%3D%3D.2-ccb7-5&oh=00_AfCdbmKpPe-biYeJZ3AhGIGtjudG0woSPhiqYzijaBfmhg&oe=6385671E&_nc_sid=30a2ef|blob:https://www.instagram.com/34856162-13f3-4b95-afb5-2015d9c566d5|['👩\u200d⚕ La gastritis es uno de los problemas más comunes debido a la mala alimentación y el estrés. 🤓 Por eso, en el link de nuestra bio ☝️ te brindamos algunos síntomas para estar alerta y recomendaciones para evitar complicaciones.\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|30|['']|2022-11-23 23:03:12+00:00
2|https://www.instagram.com/p/ClR-L6Rtx-Q/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316671071_533131658666121_7332302718745063215_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=AZedr0H8myAAX-hinCe&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NzQzNDMyNjA0MDc4MDY4OA%3D%3D.2-ccb7-5&oh=00_AfBAAo5mUUrCSTwobgnC-pDtPaIDx2JKbh2iiRjEsBUGxw&oe=638584EC&_nc_sid=30a2ef||['👨\u200d👩\u200d👧 Entender a tu hijo adolescente no es imposible, en el link de nuestra bio☝️ te compartimos algunas recomendaciones que te ayudarán a lograr una comunicación asertiva con tus hijos.\n\n👨\u200d⚕ Cuéntanos en los comentarios si ya las conocías y cómo te ayudaron con ellos.\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal #Padres #Adolescente #Comunicación']|Me_gusta|71|"[""Photo by Grupo Emi Colombia on November 22, 2022. May be an image of one or more people and text that says 'い ¿Qué permitir y qué evitar si tu hijo es adolescente? Guíalos ayúdalos porque en esta etapa lleganlos problemas de autoestima. No lo compares con otras personas, obsérvalos, escuchalos llega a acuerdos. No existen verdades absolutas, abre un espacio para hablar. La adolescencia es difícil, pero importante vivirla como una etapa clave en la crianza de nuestros hijos. Memi FALCK'.""]"|2022-11-22 22:57:32+00:00
3|https://www.instagram.com/p/ClFGT8zs2ZO/|grupoemi|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316091616_861891511507294_8731103995277895262_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=ylWJUWukBhUAX-0tp4v&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MzgxMDg4ODE4OTEwOTgzOA%3D%3D.2-ccb7-5&oh=00_AfCsn9X6b2V9GYb2sQGed6yZldiucE3bBIbKEVPkJvoeCQ&oe=6385EA42&_nc_sid=30a2ef|blob:https://www.instagram.com/58c74155-44b9-46c8-859a-3497c19d27fa|['👩\u200d⚕ La alopecia es una enfermedad que no se puede prevenir, pero sí puedes realizar tratamientos que te ayuden a controlarla. Conoce en el link de nuestra bio cómo identificarla y por qué se genera.\n\nComenta ¿qué conoces de esta enfermedad?\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|28|['']|2022-11-17 22:58:33+00:00
4|https://www.instagram.com/p/ClCh8ADMqG0/|grupoemi|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315758872_814281219663015_8023640652466713063_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=usxnODaq55gAX8k6UTb&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MzA4Nzk2Mjc3NTA2OTEwOA%3D%3D.2-ccb7-5&oh=00_AfDw9U6BldwiiBkDCNrNbLe1_8NVWqn2v1MfbZOW3oNUYQ&oe=6386E2D2&_nc_sid=30a2ef|https://scontent-bog1-1.cdninstagram.com/v/t50.2886-16/10000000_165699009431154_8965457540247319751_n.mp4?efg=eyJxZV9ncm91cHMiOiJbXCJpZ19wcm9ncmVzc2l2ZV91cmxnZW4ucHJvZHVjdF90eXBlLmNsaXBzXCJdIn0&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=n_1i5CmsEq8AX-B1Hwp&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&oh=00_AfAqHsf3QDkhpml-8FVDEf-wenmEUXbB12s_J7IDidOd0Q&oe=638305CA&_nc_sid=30a2ef|['¿Alguna vez has escuchado que el cuerpo humano es una máquina? 🤓 Te sorprenderías con todo lo que tu cuerpo puede lograr solo si lo activas correctamente y bajo la supervisión de especialistas. 👉 Conoce en el link de nuestra bio, cómo la cafeína puede ayudar a tener un mejor rendimiento físico.\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|33|['']|2022-11-16 23:02:15+00:00
5|https://www.instagram.com/p/Ck8Tr_Ft27N/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315327242_808402260251380_1870177710281131027_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=7IH7usJ2pZQAX882Ui2&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MTMzNjQzOTcyMDUzNzgwNQ%3D%3D.2-ccb7-5&oh=00_AfAfZRQt31hLw7zyaZiDut561R1cMks9yA59I07CXf2AlQ&oe=6386AA72&_nc_sid=30a2ef||['¿Sabías qué todos los tipos de diabetes pueden provocar complicaciones en el organismo e incrementar el riesgo de muerte? 😧\n\n👨🏼\u200d⚕️ En el día Mundial de la Diabetes, desde emi queremos que conozcas la importancia de prevenir, controlar y cuidar de esta enfermedad. 💊\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|23|"[""Photo by Grupo Emi Colombia on November 14, 2022. May be an image of 1 person and text that says '( 14 de noviembre Día Mundial de la Diabetes. Memi emi FALCK'.""]"|2022-11-14 13:02:07+00:00
6|https://www.instagram.com/p/Ck3JuLBOnUG/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315101959_1517441112033445_2927679689954343251_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=WUxxeL4c170AX_koxqb&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTg4NTIzNDYyMDQyOTU3NA%3D%3D.2-ccb7-5&oh=00_AfCKitfJHGpcr8L9CC0nz78cWeJsYTafzkvY1qS2qbEoiw&oe=63859CCF&_nc_sid=30a2ef||['Hoy es el Día Mundial contra la Neumonía. 👩\u200d👦👨\u200d👦\n\nEn emi hacemos un llamado especial al cuidado y prevención de esta enfermedad teniendo prácticas saludables como:\n\n💉 Vacunarse contra el neumococo.\n🍏\U0001fad7 Llevar una dieta adecuada y constante hidratación.\n😷 Tomar distancia prudente de personas con alguna afectación a la respiración.\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|24|"[""Photo by Grupo Emi Colombia on November 12, 2022. May be an image of 3 people and text that says 'co 50 12 de noviembre Día Mundial contra la Neumonía. Wemi emi MWemi FALCK'.""]"|2022-11-12 12:58:50+00:00
7|https://www.instagram.com/p/Ck1p3JaSG5X/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315106564_846209629914171_6965300768595978357_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=yf_Hd_P5-xwAX8QJamM&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2OTQ2MzYzODkwMzUxNjc1OQ%3D%3D.2-ccb7-5&oh=00_AfBJ3gwxuPzjpMzGZe_dzQjaSrG-1q0Ys9ms2ts5AaVi2A&oe=6386DC9C&_nc_sid=30a2ef||['💻 ¿Necesitas un médico mientras trabajas? Con emi recibe atención médica fácilmente a través de nuestros canales digitales las 24 horas. 👩🏽\u200d⚕️\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|385|"[""Photo by Grupo Emi Colombia on November 11, 2022. May be an image of 1 person and text that says 'Pa También somos Médic MWemi FALCK video consulta médica desde tu oficina. grupoemi.com Memi FALCK'.""]"|2022-11-11 23:01:12+00:00
8|https://www.instagram.com/p/CkzEoa6tVr1/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/314866261_663796538740542_6104615498751031693_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=zaT-sqoyiPQAX843oz3&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2ODczNjk0OTIzNDY1Mzk0MQ%3D%3D.2-ccb7-5&oh=00_AfBdVDwZqh0UYP1OsLg1vFr7sJWoZw7jX290MM54JYvQyw&oe=6386D9A3&_nc_sid=30a2ef||['🥼 Seguimos cumpliendo nuestro compromiso contigo. Con emi tienes acompañamiento y atención médica domiciliaria, las 24 horas, los 7 días de la semana. 🏡\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|45|"[""Photo by Grupo Emi Colombia on November 10, 2022. May be an image of 2 people and text that says '1 e MN emi ￥ FALCK También somos consulta médica en casa cuando lo necesites. grupoemi.com Memi emi FALCK'.""]"|2022-11-10 22:57:24+00:00
9|https://www.instagram.com/p/CkwgjDRPIGU/|grupoemi|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315059969_2003455393378155_4993959785606027674_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=ugasLi7WQboAX9Xb1k6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk2ODAxNTMwMDYxNzYwMTQyOA%3D%3D.2-ccb7-5&oh=00_AfDibv2zVDGcUd6PN8UT5FHFGTwVyS2WOlqnS2Tp0x2ykg&oe=6386157C&_nc_sid=30a2ef||['👨🏻\u200d⚕️ 👩🏽\u200d⚕️En emi estamos preparados para ayudarte en cualquier urgencia o emergencia médica.\nSeguimos trabajando para ti y acompañándote cuando más lo necesites. 🆘\n\n#Grupoemi #Somospartedetuvida #Somostumedicopersonal']|Me_gusta|71|"[""Photo by Grupo Emi Colombia on November 09, 2022. May be an image of 1 person, standing and text that says 'い ww MWemi FALCK También somos atención de urgencias y emergencias médicas 24/7 grupoemi.com Memi emi FALCK'.""]"|2022-11-09 23:03:37+00:00
