|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/CjI3WIyuEIK/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/309280911_787028622579732_6263214491006789677_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=1iNxy6G39w8AX_nS3Yt&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjkzODg0MjE3MDY4NjcxODQ3NA%3D%3D.2-ccb7-5&oh=00_AfBY12MB5fpuZXIsueFCJYcDhZG4TVGAX2te9ywGIo3uKA&oe=63894FBC&_nc_sid=30a2ef||['Nuestro directorio médico está disponible para ti durante las 24 horas del día.\n\nVisita nuestra página web y tendrás acceso a teleconsultas en la comodidad de tu casa o donde te encuentres.\n\n¡Eso no es todo! También puede ingresar desde la App de MedPlus en Android o iOS.\n\nNos vemos en www.medplus.com.co']|Me_gusta|27|"[""Photo by MedPlus Medicina Prepagada on September 30, 2022. May be an image of 1 person and text that says 'Ideas frescas en salud MedPlus ¡Tu especialista de preferencia solo un clic! Contamos con la red más amplia de acuerdo a tus necesidades + Teleconsulta 1'.""]"|2022-09-30 17:01:49+00:00
1|https://www.instagram.com/p/CgHtRE-M60k/|medplus.mp|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/293761980_144625504886361_4251687698522347783_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=J-GFUBHw4PAAX9qij_j&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg4NDQ3MzE3MjAxNjczNzU3Mg%3D%3D.2-ccb7-5&oh=00_AfBQrs_0fB2YIAmXX7nAzMN1SH9mslETqDY8lNqAhqBWwQ&oe=6388233B&_nc_sid=30a2ef|blob:https://www.instagram.com/63a73060-bb0b-4ac3-935e-4f90823cd98f|['¡Solicitar una cita con un especialista nunca había sido más fácil!\n\nCon MedPlus solo debes descargar la app y una vez dentro, podrás visitar nuestra oficina virtual.\n\n¡Búscanos en la tienda de Android o Apple como MedPlus APP! 📲\n\n#MedPlus #medicinacolombia #medicinaprepagada #prepagadacolombia #saludcolombia #bienestar #familia #saludybienestar']|Reproducciones|224|['']|2022-07-17 16:40:25+00:00
2|https://www.instagram.com/p/Cf35rpSMcra/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/292760734_626092841913242_8954155772771116202_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=HFEXucnbDw4AX8znDMS&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg4MDAyNDE2OTc3ODcwMDA5OQ%3D%3D.2-ccb7-5&oh=00_AfCN6HfMWPuB8ggJ4QQrM2YCxf0_fBS57vNCEoejhhtK1w&oe=63886B27&_nc_sid=30a2ef||['¿Por qué ir hasta la clínica si puedes solicitar tus autorizaciones desde casa?\n\nEntra en www.medplus.com.co o en el link de la bio y haz tus solicitudes de forma fácil y segura.']|Me_gusta|16|"[""Photo by MedPlus Medicina Prepagada on July 11, 2022. May be an image of one or more people and text that says 'Ideas frescas en salud MedPlus Solicita tus autorizaciones médicas sin salir de casa は'.""]"|2022-07-11 13:20:57+00:00
3|https://www.instagram.com/p/ClbT3jAhWTC/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315057890_5715675415162394_6984405622747568817_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Kpuo38md3iQAX-7fLqm&tn=LgdxYoM2i6ygn41M&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk4MDA2Mjk1MDQ3Nzc2MDc1OQ%3D%3D.2-ccb7-5&oh=00_AfDQoCMug4CnWPr26-88upk7ZwUP7Du3KLjeT1jHpvw-mA&oe=63889C7B&_nc_sid=30a2ef||['¡Tener acceso a la Clínica Azul, es más que una experiencia en salud, increíble!\n\nPero fresco, que con MedPlus y la Clínica Azul tienes más beneficios en tu paso por nuestros servicios.\n\nVen a conocer nuestras instalaciones de primera con un persona que te atenderá muy bien para que te sientas seguro y tranquilo, ¡así como en casa!']|Me_gusta|40|"[""Photo by MedPlus Medicina Prepagada on November 26, 2022. May be an image of text that says 'Ideas frescas MedPlus en salud Clínica ClínicaAzul Azul Lo mejor de la Clínica Azul es que te brinda: Atención de servicios médicos de alta complejidad 不 등 0 ceлpon 055'.""]"|2022-11-26 14:00:09+00:00
4|https://www.instagram.com/p/ClRArn-oqmP/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315734518_5733884770008125_524832579965834941_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=35SWU4FQJ_4AX9UMaWU&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3NzE2MzgxMTIzMjAwNDA0Ng%3D%3D.2-ccb7-5&oh=00_AfCA3xJaYrA4CLu0nt4sq7_N-OUr8rof4RDr-lXGiwND4A&oe=638964D7&_nc_sid=30a2ef||['¡Hazle caso al tío Julio! Él sabe lo que recomienda.\n\nLas vitaminas liposolubles son las que se pueden disolver en grasas y aceites como la vitamina D, la vitamina E, la vitamina K1 y K2 y la vitamina A.\n\n¡Ojo! No es que vas a comer aceite con ensalada 🤦🏻\u200d♀️ Es ensalada con pequeñas cantidades de aceite, preferiblemente de soja.\n\n¿Quieres conocer más de este tema? Puedes entrar en el site de https://gastronomiaycia.republica.com/']|Me_gusta|28|"[""Photo by MedPlus Medicina Prepagada on November 22, 2022. May be an image of 1 person and text that says 'Ideas frescas MedPlus en salud Sigue adelante que este dato curioso te να a encantar'.""]"|2022-11-22 14:00:06+00:00
5|https://www.instagram.com/p/ClL3Fpyv9c_/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315674656_5733877890008813_6525615067405099019_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=sblFd5DujA8AX_cMpoX&tn=LgdxYoM2i6ygn41M&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3NTcxNDI1OTgzODY4NzAzOQ%3D%3D.2-ccb7-5&oh=00_AfBjI0FdoEa6MYT2CoeP5U-HY2y6EN97EcCYxVvx8bHz1A&oe=63896D7F&_nc_sid=30a2ef||['¡Atrévete a decir lo que piensas y cómo te sientes en el trabajo!\n\nY si a tu jefe no le gusta y te despide, ¡Fresco! Nosotros cubriremos tu salud hasta por 9 meses.\n\nDurante ese tiempo no tendrás que preocuparte por no tener dinero para pagar las cuotas de MedPlus porque ¡Estamos para ayudarte!\n\nEl monto asegurado será el valor mensual del plan de medicina prepagada del grupo familiar cubierto con un máximo de $3.000.000 mensuales y hasta por 9 meses*']|Me_gusta|10|"[""Photo by MedPlus Medicina Prepagada on November 20, 2022. May be an image of 2 people and text that says 'Ideas frescas MedPlus en salud ¡Vive sin miedo al éxito! Dile a tu jefe lo que piensas ¡Cuidaremos tu salud mientras consigues un nuevo empleo! pp'.""]"|2022-11-20 14:00:05+00:00
6|https://www.instagram.com/p/ClJSSwgPT81/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315913902_5733874233342512_5539766854399441438_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=gypwTYWblhQAX_fcmr6&tn=LgdxYoM2i6ygn41M&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3NDk4OTQ4MjcyMzE5NjcyNQ%3D%3D.2-ccb7-5&oh=00_AfBYqedn45TLfQpEfT7tS6adCEhDBNP3lViJ1gLQ50ln5w&oe=6388FF94&_nc_sid=30a2ef||['¡No todas las enfermedades son COVID-19!\n\nEl gusto y el olfato son dos sentidos que se pierden temporalmente al estar resfriados o tener rinitis alérgica.\n\n¡Así que no te asustes! Si sientes síntomas de gripa o resfriado no tienes que salir de casa\n\nAhora con nuestro centro médico virtual podrás asignar cita por teleconsulta prioritaria en menos de 2 horas SIN PAGO DE BONO.']|Me_gusta|11|"[""Photo by MedPlus Medicina Prepagada on November 19, 2022. May be an image of 1 person and text that says 'Ideas frescas MedPlus en salud ¿No puedes saborear la comida? Fresco, puede ser un resfriado causado por la temporada de lluvias'.""]"|2022-11-19 14:00:04+00:00
7|https://www.instagram.com/p/ClGtgHLP2Af/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315871289_5733759033354032_156238257710531919_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=oTjUq0MMcvAAX_nc7Uc&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3NDI2NDcxNTI1NDg3MzQ3OA%3D%3D.2-ccb7-5&oh=00_AfCBYwu-HT0ZGN0M_GSmnJplMn6oIMagswuRQ2HVWR1QUQ&oe=63890FCF&_nc_sid=30a2ef||['¡Carlos empezó el 2022 con la mejor energía! Pero con el pasar de los meses sus metas se fueron desvaneciendo.\n\n¡Desliza la imagen y conoce su historia!\n\nNuestra recomendación es que no seas como Carlos. Proponte metas que sepas que podrás cumplir y hazlo a tu ritmo.\n\n¿Qué escribirás en tus metas para el 2023?']|Me_gusta|20|"[""Photo by MedPlus Medicina Prepagada on November 18, 2022. May be an image of 1 person and text that says 'Ideas frescas en salud MedPlus ¡Conoce la historia de Carlos y sus metas de cada año!'.""]"|2022-11-18 14:00:06+00:00
8|https://www.instagram.com/p/ClEItFcMl6O/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315766081_5733750300021572_6982067661822108872_n.jpg?stp=dst-jpg_e15_fr_p1080x1080&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=MYprI0-MIJMAX8vO8dl&tn=LgdxYoM2i6ygn41M&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3MzUzOTkzNjU2MTY4NDExMA%3D%3D.2-ccb7-5&oh=00_AfC9U6Vnh7B-Ruyu_r2-MOKGqpMGudvgvi9U6dEnYE-IUA&oe=6387846A&_nc_sid=30a2ef||['¡Conoce a Mari Manotas!\n\nUna mujer que entendió que el amor más importante de su vida, ¡es ella! Así es como le dió un cambio a su día a día y a su felicidad.\n\nEntra en nuestra Revista Digital y podrás leer está gran entrevista en @revistamedplus']|Me_gusta|25|"[""Photo by MedPlus Medicina Prepagada on November 17, 2022. May be an image of 1 person and text that says 'Ideas frescas MedPlus en salud Mari Manotas ¡Tiene una entrevista en www.revistamedplus.com que te encatará! @ard CUAN'.""]"|2022-11-17 14:00:05+00:00
9|https://www.instagram.com/p/ClBj6TXhEFC/|medplus.mp|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315696951_5733694380027164_8123502109959589630_n.jpg?stp=dst-jpg_e15_fr_s1080x1080&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=GL2Gd7uyNmgAX_tHLOi&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3MjgxNTE2NzE5NDQxNTQyNg%3D%3D.2-ccb7-5&oh=00_AfB1SgQpQQjzM358Vf1rY3Cxl1NrePf8TSxa4NqdqdvkSg&oe=63883A28&_nc_sid=30a2ef||['¡Sí se puede prevenir la Diabetes!\n\nPara hacerlo debes cuidarte desde una edad temprana.\n\nAunque, si estás leyendo esto y eres una persona mayor que no ha cuidado bien su salud, ¡es momento de cambiar!\n\nSigue nuestros consejos para prevenir la Diabetes.']|Me_gusta|14|"[""Photo by MedPlus Medicina Prepagada on November 16, 2022. May be a cartoon of one or more people and text that says 'Ideas frescas MedPlus en salud Cuidar tu alimentación te ayudará a prevenir la diabetes Consume más frutas y verduras Come legumbres Reduce las carnes rojas Incrementa el pescado Usa aceite de oliva Frutos secos para tus snacks Evita los alimentos ultraprocesados 0 COCON'.""]"|2022-11-16 14:00:06+00:00
