|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/Cj5jXtyDm1_/|saludtotalpac|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/311903822_916048662700528_7765615157183592800_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=OsSKAV-jOOwAX_p-JoP&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk1MjU0NjU5MjA1MjExMjc2Nw%3D%3D.2-ccb7-5&oh=00_AfC61-Osn5XiLYlbI1l3IQ3S12RvJq-A5FpDDvaBdfnVKg&oe=6386F3B9&_nc_sid=30a2ef|blob:https://www.instagram.com/334874f4-fa9b-448d-b6f4-184be064c0a4|['💡#Octubre es el mes de la lucha contra el #cancerdemama, una patología que afecta principalmente a las mujeres y que debe tratarse con gran cuidado y especialidad🥰\n\n💪El Plan Delta acompaña a las personas con esta patología, afíliate a él💯']|Me_gusta|18|['']|2022-10-19 14:50:56+00:00
1|https://www.instagram.com/p/ClZOam5v6NJ/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316973017_1228118274760839_5578427276861051435_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=mJ_IUXYZ5TkAX-7Ujg0&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3OTQ3NjAyOTYxMDg5NDE1Mw%3D%3D.2-ccb7-5&oh=00_AfBU3W6EpJVZlHW8eui7ORAKw_skEBMZ4Oxd0uIe8VQsSA&oe=6385F621&_nc_sid=30a2ef||['💡Con especialistas médicos capacitados y de confianza dale la bienvenida al nuevo integrante que llega a tu hogar👣 Afilia a tu familia a nuestros Planes Complementarios y entrégales una protección total🤝\n\n🤩Conoce más ingresando al link ubicado en nuestra biografía.']|Me_gusta|6|"[""Photo by Salud Total EPS on November 25, 2022. May be an image of 2 people, child and text that says 'Plan Alfa Atención oportuna y de calidad al nuevo integrante Nuestros especialistas médicos estarán en el momento de tu parto para brindarte acompañamiento en esta nueva etapa Atención de parto o cesárea SaludTotalo PAC Planes Complementarios'.""]"|2022-11-25 18:34:02+00:00
2|https://www.instagram.com/p/ClTrMepN05X/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316352334_845291046889916_5791092177179897651_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=QJVTkk9u8tQAX_CbuMO&tn=LgdxYoM2i6ygn41M&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NzkxMzc1MjE1OTQ3MzIzOQ%3D%3D.2-ccb7-5&oh=00_AfCtZsq7cT56D_V40_rI4BsCP8yb7XPuOvYKOMs7G64ZWQ&oe=63855290&_nc_sid=30a2ef||['🤗Merecemos cuidarnos y estar acompañados. Por ello, en cualquier situación tu familia podrá contar con nuestros auxiliares de enfermería👩\u200d⚕️️, capacitados para brindarte una gran atención.\n\n🤩Conoce más ingresando al link ubicado en nuestra biografía.']|Me_gusta|5|"[""Photo by Salud Total EPS on November 23, 2022. May be an image of 1 person, child, sitting and text that says 'Plan Delta De todo lo que hay en el mundo, tu familia merece lo mejor En cualquier caso, confía en la atención de nuestros especialistas médicos, ellos estarán siempre allí Auxiliar de enfermería en la noche SaludTotal.oss PAC Planes Complementarios'.""]"|2022-11-23 14:50:04+00:00
3|https://www.instagram.com/p/ClOt2npJt0r/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316479986_854015812576853_5376560195695474081_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=fHB3X8P2YiwAX8dRPW6&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NjUxODA2OTI0OTU2Mzk0Nw%3D%3D.2-ccb7-5&oh=00_AfBL6wTUCTZ0vU4d3GqF3xJ6NY3MTnsv1HnQu00JsSboFA&oe=638656A0&_nc_sid=30a2ef||['🤗Ilumina el día de tus compañeros de clase con una sonrisa💡 Afíliate a nuestro plan complementario Omega y dale a tu sonrisa la salud y protección que mereces☝️\n\n🤩Conoce más ingresando al link ubicado en nuestra biografía.']|Me_gusta|6|"[""Photo by Salud Total EPS on November 21, 2022. May be an image of 1 person and text that says 'somriendo! tu día Plan Omega Acceso directo a 5 especialidades odontológicas Examen oral apoyo diagnóstico Ortodoncia preventiva y correctiva Tratamiento odontológicos Blanqueamiento estético SaludTotal.orss PAC Planes Complementarios'.""]"|2022-11-21 16:37:06+00:00
4|https://www.instagram.com/p/ClNE7xYj-de/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/316361053_204438408621412_6393434929205167705_n.webp?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=6_6R2FRI8xoAX-9gMmB&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3NjA1NjYyODQyMjM3MTE2Ng%3D%3D.2-ccb7-5&oh=00_AfDfpeonUYzzY8kjwr-uciIWG8k5v2vFcfOa2J9VuTHhJg&oe=63859FEB&_nc_sid=30a2ef||['🤱En nuestras manos está la protección de nuestros niños y niñas y hoy trabajamos fuertemente por entregarles siempre un mejor futuro y calidad de vida. 💛Por eso, asiste con él a una cita por Valoración Integral y completa su esquema de vacunación para proteger su salud desde la prevención🥰']|Me_gusta|7|"[""Photo by Salud Total EPS on November 20, 2022. May be an image of 1 person and text that says 'Eficacia, Eficaciaox proteccion VACUNARNOS! Amamos cuidamos y protegemos Juntos trabajamos por el derecho a la salud, la educación y la protección de nuestros niños Ytú, ¿Qué consejo le darías a tu niño del pasado? Día Mundial de la Infancia Noviembre 20 SaludTotalos'.""]"|2022-11-21 01:20:18+00:00
5|https://www.instagram.com/p/ClFZvk7PQGf/|saludtotalpac|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315774049_639063821297738_2265214150583216215_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Zz4_21CwGOkAX-S6rVD&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3Mzg5NjM0OTU3NDgyNDM1MQ%3D%3D.2-ccb7-5&oh=00_AfAKgYP7Ed1_8XGTlu8wzIvxYeUVWRIjrQXMg5Q9IHCd-w&oe=6385ABDD&_nc_sid=30a2ef|blob:https://www.instagram.com/61aca1de-bd2a-49a9-acc3-529c6b8e0a83|['🤝¡No salgas de casa! En el momento en que desees solicita la toma de tus muestras de laboratorio clínico a domicilio y nuestro equipo médico llegará al sitio en el que te encuentres💛']|Reproducciones|536|['']|2022-11-18 01:48:25+00:00
6|https://www.instagram.com/p/ClBxL2_rJS4/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315921396_5816585865031060_1419496974074916139_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=YlP_9BhUxYkAX8C7jKG&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3Mjg3MzU0ODI4NDg1OTU3Ng%3D%3D.2-ccb7-5&oh=00_AfD0eoTcncYXtFkIMVHkL26qmilS6PJX_jrS96unDr32fA&oe=6386539F&_nc_sid=30a2ef||['¡No salgas de casa🏠! Respira con la tranquilidad de que profesionales médicos estarán allí para brindarte siempre atención y calidad💪\n\n✌️Conoce más ingresando al link ubicado en nuestra biografía.']|Me_gusta|5|"[""Photo by Salud Total EPS on November 16, 2022. May be an image of 1 person and text that says 'Plan Gama ¡Respira con calma, exhala con tranquilidad! Nuestros profesionales médicos asistirán a tu casa en el momento que necesites para brindarte atención y protección Terapias físicas y respiratorias domiciliarias SaludTotaloss PAC Planes Complementarios'.""]"|2022-11-16 15:56:06+00:00
7|https://www.instagram.com/p/Ck8paEfrcDE/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/314732584_5810888878934092_662070012062735177_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=13JEuVFDjRAAX819-tP&tn=LgdxYoM2i6ygn41M&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk3MTQzMTk2NTU5NzQ4MzIwNA%3D%3D.2-ccb7-5&oh=00_AfBg4eArLK-Jjy1CoV8Skoi5Sc-9m7ug8QHIjDIV3Vax6A&oe=63873239&_nc_sid=30a2ef||['💡Todas las vacunas salvan vidas y reducen el riesgo de hospitalización o fallecimiento por COVID-19. ¡Vacúnate! Protege tu vida y la de tu familia.']|Me_gusta|9|"[""Photo by Salud Total EPS on November 14, 2022. May be an image of 1 person, child and text that says 'protaciay Elficacia iVAM VACUNARNOS! Nos vacunamos, nos cuidamos Cuida tu salud y la de tu familia por medio de la vacunación y el autocuidado SaludTotalos'.""]"|2022-11-14 16:11:55+00:00
8|https://www.instagram.com/p/Ck6Rs47JQZF/|saludtotalpac|video|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/315284574_169726072337745_76612799600519977_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=SghVobHcwFYAX_XNPq7&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjk3MDc2NDc1NTc3Mzc1MjkwMQ%3D%3D.2-ccb7-5&oh=00_AfBD9wPKywUekR24ak4NIvaAmYSoiFVeP8ngYqIA-gTZFw&oe=6385C3DC&_nc_sid=30a2ef|blob:https://www.instagram.com/88273c21-fc17-4fd0-b948-e0d0959aa2a8|['Si no recuerdas tu clave de acceso a nuestro portal web, ¡no te preocupes! Sigue estos pasos y recupérala fácilmente.']|Me_gusta|3|['']|2022-11-13 18:08:04+00:00
9|https://www.instagram.com/p/Ck04v1dL18C/|saludtotalpac|image|https://scontent-bog1-1.cdninstagram.com/v/t39.30808-6/315221316_5802495179773462_1679142810596732547_n.jpg?stp=dst-jpg_e35_s1080x1080_sh0.08&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=REkFjV_F65UAX_Txl86&edm=ALQROFkAAAAA&ccb=7-5&ig_cache_key=Mjk2OTI0NzYzMjE2MTk4ODM1NA%3D%3D.2-ccb7-5&oh=00_AfB4VMkR9P9eI1LwfDM3ESSkJ8i3Csa-BbpXn3f4gMJScw&oe=638641AD&_nc_sid=30a2ef||['🤗Con nuestro Plan Alfa ten siempre la seguridad de estar protegido💡 Recibe atención preferencial y accede a múltiples servicios☝️\n\n🤩Conoce más ingresando al link ubicado en nuestra biografía.']|Me_gusta|12|"[""Photo by Salud Total EPS on November 11, 2022. May be an image of 1 person, eyeglasses and text that says 'Deja al lado las excusas, cuida tu salud con profesionales médicos Acceso directo a 12 especialidades médicas Habitación individual en caso de hospitalización Consulta médica domiciliaria orientación médica telefónica Terapias físicas y respiratorias Plan Alfa SaludTotaloss PAC Planes Complementarios'.""]"|2022-11-11 15:52:03+00:00
