|p_url|target|comment_author|comment
1|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|papeleriapopular_|['❤️❤️❤️']
2|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|luna_turbantes|['Cuáles son los tyc?']
3|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|iescorci11|['Como asistente virtual puede ayudarnos a brindar asistencia para asignación de citas, recordar la toma de medicamentos, realizar triage, acompañamiento para recordar las citas, terapias y otros servicios. #MiAlexaConCoomevaMP @hectoralfonso95 @dario12317 ❤']
4|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|leonardo.c.nino|['Como asistente virtual, la programaría para q me recordara adiario las comidas sanas que debo realizar, el ejercicio que debo hacer, y pediría que antes de ir a trabajar me diera un consejo de felicidad, éxito y empoderamiento diario para la salud mental. #mialexaconcoomevamp @aleyandro135 @basbvape']
5|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|jdiazm10|['#MiAlexaConCoomevaMP Un asistente virtual puede ayudar a las personas en el recordatorio y seguimiento de sus medicamentos o pastillas @laura_yepez03 @apulidoyepes']
6|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|juanajulieth|['@jorre_1029']
7|https://www.instagram.com/p/CpGikFVNI7Q/|grupo_coomeva|rubieladelacruz|['👏👏👏']
8|https://www.instagram.com/p/CpGikFVNI7Q/|grupo_coomeva|marthaeugeniauribemutis|['Y si quien es experto en una de estas temáticas es familiar de un asociado , puede aplicar ??']
9|https://www.instagram.com/p/CpGikFVNI7Q/|grupo_coomeva|rubieladelacruz|['En que link']
14|https://www.instagram.com/p/CpBjTtbSsO4/|grupo_coomeva|kquinterom|['Paz interior! ❤️']
15|https://www.instagram.com/p/CpBjTtbSsO4/|grupo_coomeva|giraldoliset|['Salud mental']
18|https://www.instagram.com/p/Co8ZxsOv56O/|grupo_coomeva|jhon__solano|['El enchulado.............🤠']
19|https://www.instagram.com/p/Co8ZxsOv56O/|grupo_coomeva|danielaldana_|['El dueño del sistema 😎']
21|https://www.instagram.com/p/Co51BtzNbbW/|grupo_coomeva|andrearocha_r|['Las asistencias para mascotas son lo mejor, mi Michi ya recibió consulta médica, esterilización y vacunación todo sin costo. 😌😺']
23|https://www.instagram.com/p/Co3QGILM9Ct/|grupo_coomeva|patorestrepo3|['Cual link?']
24|https://www.instagram.com/p/Co3QGILM9Ct/|grupo_coomeva|profedorron|['Inflación en el 13.5%, disque está en 16% y AUMENTANDO.... PACTO HISTÓRICO']
29|https://www.instagram.com/p/Covhtcqs9CD/|grupo_coomeva|andreaguerob|['Saludos, si tengo una marca de accesorios (aretes, collares, manillas) pudiera aplicar? Muchísimas gracias 🙌']
30|https://www.instagram.com/p/Covhtcqs9CD/|grupo_coomeva|mariafdarojas|['🤩 genial, lo haré para mi empresa! 👌💜']
32|https://www.instagram.com/p/CosM2nfjxaD/|grupo_coomeva|olgalu.rz|['Genial']
34|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|elizabethfalla77|['Esta en Cali']
35|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|andrecoach|['Quiero más info']
36|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|carolina.jhoanna|['Yo quiero']
37|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|estherbarr07|['Información']
38|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|diana.uran|['Hooa bns días, y en bucaramanga?']
39|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|bolanos6510|['Y cali cuando ?']
40|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|kayita21|['Yo quiero, hasta cuando puedo adquirirlas?']
41|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|nipagaja|['😍Me encanta']
42|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|diana.uran|['😢']
43|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|amolettos|['Como las adquiero??']
44|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|el_pollo1381|['Quiero toda la información por favor 🙏🏼']
45|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|briannavasquez944|['@angelicamadrinan']
46|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|_juancamiloo|['@silvijcm6 vamos']
47|https://www.instagram.com/p/CoqYLr6MSNo/|grupo_coomeva|paulalilih|['@wilgar20']
50|https://www.instagram.com/p/CopQ_Sisf78/|grupo_coomeva|roberto.medina.13.69|['❤️']
51|https://www.instagram.com/p/CopQ_Sisf78/|grupo_coomeva|roberto.medina.13.69|['🙌']
52|https://www.instagram.com/p/CopQ_Sisf78/|grupo_coomeva|roberto.medina.13.69|['Técnico de sistemas']
56|https://www.instagram.com/p/CoiAiZjOQfF/|grupo_coomeva|tunegrita_leo19|['Sería una tragicomedia #Equiposoñado']
57|https://www.instagram.com/p/CoiAiZjOQfF/|grupo_coomeva|mama_de_dos88|['Seria de amor y se llamaría un mundo maravilloso #equiposoñado']
60|https://www.instagram.com/p/CofjSuHuSPv/|grupo_coomeva|hechoencasaxcucuya|['No me deja cargar el.link😢']
68|https://www.instagram.com/p/Coa0fBOMIk7/|grupo_coomeva|angela_vidaplena|['Hola dónde puedo obtener más información gracias']
72|https://www.instagram.com/p/CoXmfi8OgEu/|grupo_coomeva|miriazol|['La noche?']
73|https://www.instagram.com/p/CoVxyvEP1_1/|grupo_coomeva|mafegonzalezi111|['📖 🧡🧡']
75|https://www.instagram.com/p/CoVBsl3r_X2/|grupo_coomeva|erika.cardona88|['Me comparten el link por favor no me deja abrir nada']
76|https://www.instagram.com/p/CoVBsl3r_X2/|grupo_coomeva|mayelimarin|['Hola quiero inscribirme... Pero en link no veo el curso']
77|https://www.instagram.com/p/CoQaiKRtAXM/|grupo_coomeva|claudia01morales|['🔥']
78|https://www.instagram.com/p/CoP--zYtC9r/|grupo_coomeva|yanethandrad|['Que rendimiento me da ese ahorro programado?']
79|https://www.instagram.com/p/CoP--zYtC9r/|grupo_coomeva|munozmarisolrendon|['Llevo 7 años y no me ganado nada!!!!!']
94|https://www.instagram.com/p/CoDwNigLB8n/|grupo_coomeva|fit_mi048|['Promote it!! on @workouts_lovers']
97|https://www.instagram.com/p/CoCkq0Ot3vb/|grupo_coomeva|ednacabrera_|['Muy chevere la iniciativa, pero deberían seguir analizando como facilitarnos la vida para poder ser buenos influenciadores, pues tienen convenios atractivos pero hacer uso de ellos es muy complejo. Ejemplo :El fin de semana, estando en Pereira, quería visitar el parque Ukumarí pero las boletas sólo se compran en oficinas o llamando al #464, dice en su sitio web (en lugar de tienda coomeva), y al llamar le informan que esas boletas solo están disponibles en las oficinas de cali y zarzal, que en las oficinas de Pereira no las puedo comprar, a pesar de estar a 20 min del parque. 😡. #increiblementeilogico #nomefacilitanlavida']
98|https://www.instagram.com/p/CoCkq0Ot3vb/|grupo_coomeva|henrycortespena|['me interesa']
99|https://www.instagram.com/p/CoCkq0Ot3vb/|grupo_coomeva|glenispaz|['Necesito empleo']
100|https://www.instagram.com/p/CoCkq0Ot3vb/|grupo_coomeva|liliana.mora1|['Estoy interesada ❤️']
101|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|miriamcaro02|['💚']
102|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|johnfredy1286|['❤️❤️']
103|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|adelaidadiaz|['💚']
104|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|pks1305|['💚']
105|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|himega.56|['💚']
106|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|nestormiguelremolina|['💚']
107|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|dante.johan|['💚']
108|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|mereperezs|['💚']
109|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|cindy.l.ordonez.7|['💚']
110|https://www.instagram.com/p/CoAlompMqnY/|grupo_coomeva|gloriasanchez4696|['💚']
111|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|marthicamazo|['Un espejo de mano pegado al espejo retrovisor..']
112|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|criisthiianpiinzon|['Espejo 😂']
113|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|carola_tab_ur|['Jajajaja.... Un salvavidas...espejo de mano... Mientras tanto 😁']
114|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|heribertobastodiaz|['Y para las Motos de alto Cilindraje tiene cobertura de mis accesorios']
115|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|natycoral1012|['El espejovisor de mano portable ._.']
116|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|daniloayala_7|['El seguro de grupo coomeva es de lo MEJOR 🙌']
117|https://www.instagram.com/p/Cn-Y3thsbc1/|grupo_coomeva|andromedavjn|['😂😂😂']
122|https://www.instagram.com/p/Cn5WJ9oLZpt/|grupo_coomeva|lalectorapamplona|['He intentado comunicarme por diferentes medios por un presunto fraude que cometió una ejecutiva de Coomeva medicina prepagada y no atienden mi caso en ningún medio de comunicación de Coomeva. Estoy fuera del país sin la cobertura médica prometida para mi y mi hija. Necesito solución urgente! Gracias!']
124|https://www.instagram.com/p/Cn4z4dpMCKl/|grupo_coomeva|leonardomaya13|['El servicio de afiliación es perfecto, rápido y ágil, pero hoy que me quiero desafilar lo único que recibo del área de quejas y reclamos es que la línea está caída para desvincularme…. Lo raro es que todas las demás opciones funcionan perfectamente. Por favor me podrían dar solución?!!']
125|https://www.instagram.com/p/Cn4mFpLu5C7/|grupo_coomeva|claudialigellyrios|['Zulyroman']
134|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|mapazrestrepo|['Que interesante, cómo será? 😮👏']
135|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|robinsonsamirsuarez|['Deseo ser influenciador ¿Cómo lo hago?']
136|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|vinculacion_cooperativacoomeva|['#redcooperamoscoomeva 🔥👏']
137|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|bivirios|['#redcooperamoscoomeva 👏👏👏']
138|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|si_te_amas_daras_amor|['🙌']
139|https://www.instagram.com/p/CnwjG05Mhbg/|grupo_coomeva|yefer_arroyo|['Estoy interesado. 👏👏👏']
