|p_url|target|p_type|p_image_url|p_video_url|p_post_text|reactions_type|reactions|p_inner_descrption|p_date
0|https://www.instagram.com/p/CpLGY8_u9NZ/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/333339902_170687325720838_6808351460798239881_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=Fl0bO2zdu0wAX86XkBa&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NzU1NzY3NTg4NjU2NDE4NQ%3D%3D.2-ccb7-5&oh=00_AfAoFXdG7akUZifVA5VmENNTvz7e-xXeBlLe0oh6Dqb6mw&oe=640236B2&_nc_sid=1527a3||['Tenemos algunos tips para ti: Ahorra para la cuota inicial de tu vivienda, ya sea a través de una Cuenta AFC, CDT o los diferentes subsidios de vivienda; al ahorrar, organizas tus finanzas para cumplir tu meta, el ahorro disminuye el monto que tienes que pedir prestado a una entidad financiera, reduciendo el interés a pagar.\n\n#EducaciónFinanciera #Bancoomeva #Tips']|Me_gusta|27|"[""Photo by Grupo Coomeva on February 27, 2023. May be an image of text that says 'EDUCACIÓN FINANCIERA ADQUIERETU VIVIENDA A TRAVES DEL AHORRO ¡Esta es la herramienta más importante que tienes para construir tu meta! BancoomevaS.A. EntidadBancaria. ¡AVANZAMOS CONTIGO, juntos lo hacemos posible!'.""]"|2023-02-27 17:00:09+00:00
1|https://www.instagram.com/p/CpKkEGeuSlo/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/332984233_815473216614924_7500997752580656816_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=jxJo6kIITZIAX9z6W5P&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NzQwNjcwOTM3OTc3MDcyOA%3D%3D.2-ccb7-5&oh=00_AfCE3-8p56bIJ3FU2vHTehqA2nXqCLi4AiI--A6Rx9NqXg&oe=6403F300&_nc_sid=1527a3||['📣🤩 CONCURSO: Participa en el perfil de LinkedIN de Coomeva medicina prepagada (Link en bio)\n\nParticipa y disfruta la compañía de un asistente virtual Alexa en la oficina, en casa o donde quieras.\n\n¿Te animas? Sigue estos pasos EN EL PERFIL DE LINKEDIN DE COOMEVA MEDICINA PREPAGADA:\n👉 𝙎𝙞́𝙜𝙪𝙚𝙣𝙤𝙨 en LinkedIn: Coomeva Medicina Prepagada Oficial y dale like a esta publicación\n👉 𝙀𝙨𝙘𝙧𝙞𝙗𝙚 en los comentarios la respuesta que le darías a esta pregunta: ¿Cómo un asistente virtual puede ayudar a tu salud y bienestar?\n👉 𝙀𝙩𝙞𝙦𝙪𝙚𝙩𝙖 a dos personas en el mismo comentario, ellos también nos deben seguir\n👉 𝙐𝙩𝙞𝙡𝙞𝙯𝙖 el hashtag #MiAlexaConCoomevaMP\n\n🎟️ Premio:\nAmazon Echo Dot 3a Gen con asistente virtual Alexa.\n\nAplican Términos y Condiciones. Ve a LinkedIN a participar.']|Me_gusta|90|"[""Photo by Grupo Coomeva on February 27, 2023. May be an image of 1 person and text that says '09 Concurso #MiAlexaConCoomevaMP Seguirnos en Linkedin te premia con una Alexa 3a generación Coomeva Medicina Prepagada'.""]"|2023-02-27 12:00:13+00:00
2|https://www.instagram.com/p/CpGikFVNI7Q/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/332865961_943871963280599_1856811916059415316_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=_WUYbw6EA2AAX-6gGNg&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NjI3NDIxMTE2OTczNDM1Mg%3D%3D.2-ccb7-5&oh=00_AfDl1hYPHrF6G9bZm2X14HwBblu5ezK-JTpTumHiXrsGig&oe=64023832&_nc_sid=1527a3||['Si eres asociado a Coomeva y eres un PRO en alguna de las áreas mencionadas (entre muchas más), inscríbete en nuestra Convocatoria para Consultores de Fundación Coomeva y ayúdale a nuestros emprendedores y empresarios a cumplir sus sueños y llevar sus negocios a otro nivel. Ingresa al formulario en el link de la bio.⬆💜\n\n#FundaciónCoomeva']|Me_gusta|47|"[""Photo by Grupo Coomeva on February 25, 2023. May be an image of 4 people and text that says '¡SÉ UN CONSULTOR EMPRESARIAL FUNDACIÃN COOMEVA En alguna de las siguientes especialidades: Marketing Digital Financiero Estrategia Entornos BAN y VUCA ✓ Estrategias Comerciales Procesos Tecnología Sostenibilidad ymás.'.""]"|2023-02-25 22:30:08+00:00
3|https://www.instagram.com/p/CpGDsV9sOsq/|grupo_coomeva|video||https://scontent-bog1-1.cdninstagram.com/v/t50.2886-16/332421094_620828166523453_8958485112811868906_n.mp4?efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjQ4MC5jYXJvdXNlbF9pdGVtLmJhc2VsaW5lIiwicWVfZ3JvdXBzIjoiW1wiaWdfd2ViX2RlbGl2ZXJ5X3Z0c19vdGZcIl0ifQ&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=HSNtDBqyeYIAX8840Cs&edm=ACWDqb8BAAAA&vs=571335964930665_768524868&_nc_vs=HBksFQAYJEdPWlgwQk05Q2xYU296UUNBT3JTeHZxXzdsSjhia1lMQUFBRhUAAsgBABUAGCRHRHlVMHhNdWlxRl8xV0VFQU1YNUdCWnJLUXREYmtZTEFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMBUAACawqPGG5rXtPxUCKAJDMywXQBIhysCDEm8YEmRhc2hfYmFzZWxpbmVfMl92MREAde4HAA%3D%3D&_nc_rid=40667e2eba&ccb=7-5&oh=00_AfD0u4KiREROFSKPB2exjosBdr7rWddyHF2VY608W3ei5g&oe=63FFDD0D&_nc_sid=1527a3|['Cuando vas al supermercado, tienes que actuar como el adulto que eres y pasan estas cosas🤣La buena noticia es que puedes aprovechar el descuento que tienes en Jumbo y Metro este 25 y 26 de febrero por ser asociado, pagando con tu Tarjeta Crédito Coomeva Mastercard😎\n\n👇 Confírmanos en los comentarios qué otras cosas te han pasado😂\n\n#CoomevaCooperativa #Descuentos #Alianzas #Mercado']|Me_gusta|50|['']|2023-02-25 18:00:20+00:00
4|https://www.instagram.com/p/CpEBM9Usv6O/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/332538372_585483300290000_3909929139076319504_n.jpg?stp=dst-jpg_e35&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=kFkYANmhEngAX9gQHwn&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NTU2NDUzNjUzNTA1NjAxNA%3D%3D.2-ccb7-5&oh=00_AfDsMPbzqM3h5rNOv8FJiUGJFm0wP2JcJZIHUdtvuFAzUQ&oe=64027406&_nc_sid=1527a3||['Conéctate e ilustra algunas estrategias con las cuales puedas realizar una preparación exitosa de una entrevista laboral. Inscríbete en el link de la bio⬆😉\n\n#Educación #Cursos #Webinar #EntrevistaLaboral']|Me_gusta|15|"[""Photo by Grupo Coomeva on February 24, 2023. May be an image of 1 person and text that says 'EDUCACIÓN Ytu, ¿sabes cómo tener una entrevista de trabajo exitosa? ¡Descúbrelo en nuestro webinar del Ciclo de Empleo II! Outindum Conferencista: Daniel Gómez 28 de febrero 6:00 p.m. radiocoomeva.com.co #EdúcateCon COOMEVA'.""]"|2023-02-24 23:00:08+00:00
5|https://www.instagram.com/p/CpD9DxdgnBk/|grupo_coomeva|video||blob:https://www.instagram.com/98bb0395-c3c3-419a-9b60-5e446b36bd1e|['Que el dólar, que la inflación, que los gastos, muchos factores que afectan la economía de todos. Pero lo importante es conocer y buscar opciones que te permitan aumentar tus ingresos y tus ahorros 😉 Y la Cuenta de Ahorro Súper Tasa es una excelente opción. Conoce más en el link de la bio⬆\n#Ahorros #Inflación #Bancoomeva #Economía #Cuentadeahorros #ahorra']|Me_gusta|33|['']|2023-02-24 22:24:07+00:00
6|https://www.instagram.com/p/CpDbi1AsuOC/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/332604525_1559407864572065_7693719860647708236_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=V2lwU60Yff4AX-i9wte&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NTM5ODkwOTQxNzQ3NTAwMw%3D%3D.2-ccb7-5&oh=00_AfDC1xeiNqFw4WBbReytE_dTliF--5oG16RxkuCUAd8emw&oe=64023077&_nc_sid=1527a3||['Cuando tus metas no son solo tuyas, sino que las comparten miles de jóvenes más, sabes que en equipo ¡se logran!🥳💚 conoce aquí las 10 razones para asociarte a una cooperativa en el link de la bio⬆😉\n\n#CoomevaCooperativa #BlogCoomeva #Coomeva']|Me_gusta|18|"[""Photo by Grupo Coomeva on February 24, 2023. May be an image of 1 person and text that says 'JULIANA NO LA LOGRÓ SOLA! ¿Quieres saber su formula?'.""]"|2023-02-24 17:31:02+00:00
7|https://www.instagram.com/p/CpBjTtbSsO4/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/333089369_2452626108221379_5255176706491185218_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=fzFORlgKf3wAX_jbUav&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NDg3MDEwMTcyMTA4ODQ1Mg%3D%3D.2-ccb7-5&oh=00_AfCWf2hxoLP5A2LIwEPXLdR7OtMwL-hUGzz57n-wrrzdsA&oe=6403919F&_nc_sid=1527a3||['¿A qué le vas a contestar hoy?🤔 A darle prioridad a tu salud mental, a aprovechar los descuentos y viajes que tienes como asociado, o a trabajar en tu paz interior🙌\n\nDéjanos tu comentario y nosotros te decimos cómo hacerlo realidad💚']|Me_gusta|37|"[""Photo by Grupo Coomeva on February 23, 2023. May be an image of phone and text that says 'Salud mental Llamada... Aviso Mensaje'.""]"|2023-02-24 00:00:24+00:00
8|https://www.instagram.com/p/CpBGBMYLrH4/|grupo_coomeva|image|https://scontent-bog1-1.cdninstagram.com/v/t51.2885-15/332687673_527951642813698_5062171691648219925_n.jpg?stp=dst-jpg_e15&_nc_ht=scontent-bog1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=dlBuN5joud0AX8isw2q&edm=ACWDqb8BAAAA&ccb=7-5&ig_cache_key=MzA0NDc0MTI4OTE2NTY4MjkzNA%3D%3D.2-ccb7-5&oh=00_AfCxcoT8WZRxtr-bmqmlfMOI4cRwd1nr8TMxGv1xK_hfGg&oe=640259BA&_nc_sid=1527a3||['¡Es momento de tener las cuentas claras! Aprende sobre las generalidades del impuesto de renta y complementarios, impuesto diferido y más en materia tributaria. Inscríbete al seminario de Declaración de renta persona jurídica, y conviértete en uno de los que saben. Inscríbete en el link de la bio⬆\n\n#Educación #EducaciónCoomeva #EducateConCoomeva #DeclaracionDeRenta']|Me_gusta|17|"[""Photo by Grupo Coomeva on February 23, 2023. May be an image of 5 people, people standing and text that says 'El que sabe de tributación, sabe hacer la Declaración de renta persona jurídica Ciclo Tributario Virtual 2023 El que sa…be, legis Profesional Actualización sabe'.""]"|2023-02-23 19:44:28+00:00
9|https://www.instagram.com/p/Co-SXs_jRIl/|grupo_coomeva|video||blob:https://www.instagram.com/cbf17bdd-c9da-4059-b6b3-8426851bdba7|"['🇨🇴💙\U0001faf1🏻\u200d\U0001faf2🏼| Coomeva, el mejor amigo de la natación en Colombia.\n\n¡Gracias por seguir siendo parte de nuestra familia, @grupo_coomeva!']"|Me_gusta|243|['']|2023-02-22 17:37:23+00:00
