,a
0,al
1,algo
2,algunas
3,algunos
4,ante
5,antes
6,como
7,con
8,contra
9,cual
10,cuando
11,de
12,del
13,desde
14,donde
15,durante
16,e
17,el
18,ella
19,ellas
20,ellos
21,en
22,entre
23,era
24,erais
25,eran
26,eras
27,eres
28,es
29,esa
30,esas
31,ese
32,eso
33,esos
34,esta
35,estaba
36,estabais
37,estaban
38,estabas
39,estad
40,estada
41,estadas
42,estado
43,estados
44,estamos
45,estando
46,estar
47,estaremos
48,estará
49,estarán
50,estarás
51,estaré
52,estaréis
53,estaría
54,estaríais
55,estaríamos
56,estarían
57,estarías
58,estas
59,este
60,estemos
61,esto
62,estos
63,estoy
64,estuve
65,estuviera
66,estuvierais
67,estuvieran
68,estuvieras
69,estuvieron
70,estuviese
71,estuvieseis
72,estuviesen
73,estuvieses
74,estuvimos
75,estuviste
76,estuvisteis
77,estuviéramos
78,estuviésemos
79,estuvo
80,está
81,estábamos
82,estáis
83,están
84,estás
85,esté
86,estéis
87,estén
88,estés
89,fue
90,fuera
91,fuerais
92,fueran
93,fueras
94,fueron
95,fuese
96,fueseis
97,fuesen
98,fueses
99,fui
100,fuimos
101,fuiste
102,fuisteis
103,fuéramos
104,fuésemos
105,ha
106,habida
107,habidas
108,habido
109,habidos
110,habiendo
111,habremos
112,habrá
113,habrán
114,habrás
115,habré
116,habréis
117,habría
118,habríais
119,habríamos
120,habrían
121,habrías
122,habéis
123,había
124,habíais
125,habíamos
126,habían
127,habías
128,han
129,has
130,hasta
131,hay
132,haya
133,hayamos
134,hayan
135,hayas
136,hayáis
137,he
138,hemos
139,hube
140,hubiera
141,hubierais
142,hubieran
143,hubieras
144,hubieron
145,hubiese
146,hubieseis
147,hubiesen
148,hubieses
149,hubimos
150,hubiste
151,hubisteis
152,hubiéramos
153,hubiésemos
154,hubo
155,la
156,las
157,le
158,les
159,lo
160,los
161,me
162,mi
163,mis
164,mucho
165,muchos
166,muy
167,más
168,mí
169,mía
170,mías
171,mío
172,míos
173,nada
174,ni
175,no
176,nos
177,nosotras
178,nosotros
179,nuestra
180,nuestras
181,nuestro
182,nuestros
183,o
184,os
185,otra
186,otras
187,otro
188,otros
189,para
190,pero
191,poco
192,por
193,porque
194,que
195,quien
196,quienes
197,qué
198,se
199,sea
200,seamos
201,sean
202,seas
203,seremos
204,será
205,serán
206,serás
207,seré
208,seréis
209,sería
210,seríais
211,seríamos
212,serían
213,serías
214,seáis
215,sido
216,siendo
217,sin
218,sobre
219,sois
220,somos
221,son
222,soy
223,su
224,sus
225,suya
226,suyas
227,suyo
228,suyos
229,sí
230,también
231,tanto
232,te
233,tendremos
234,tendrá
235,tendrán
236,tendrás
237,tendré
238,tendréis
239,tendría
240,tendríais
241,tendríamos
242,tendrían
243,tendrías
244,tened
245,tenemos
246,tenga
247,tengamos
248,tengan
249,tengas
250,tengo
251,tengáis
252,tenida
253,tenidas
254,tenido
255,tenidos
256,teniendo
257,tenéis
258,tenía
259,teníais
260,teníamos
261,tenían
262,tenías
263,ti
264,tiene
265,tienen
266,tienes
267,todo
268,todos
269,tu
270,tus
271,tuve
272,tuviera
273,tuvierais
274,tuvieran
275,tuvieras
276,tuvieron
277,tuviese
278,tuvieseis
279,tuviesen
280,tuvieses
281,tuvimos
282,tuviste
283,tuvisteis
284,tuviéramos
285,tuviésemos
286,tuvo
287,tuya
288,tuyas
289,tuyo
290,tuyos
291,tú
292,un
293,una
294,uno
295,unos
296,vosotras
297,vosotros
298,vuestra
299,vuestras
300,vuestro
301,vuestros
302,y
303,ya
304,yo
305,él
306,éramos
